fips,poor_or_fair_health_percent,poor_physical_health_days,poor_mental_health_days,low_birthweight_percent,smokers_percent,obesity_percent,food_environment_index,physically_inactive_percent,access_to_exercise_percent,excessive_drinking_percent,alcohol_impaired_driving_death_rate,STI_rate,teen_birth_rate,uninsured_percent,primary_care_physician_rate,dentist_rate,mental_health_provider_rate,mammography_screening_percent,high_school_cohort_size,high_school_graduation_rate,some_college_percent,unemployment_percent,children_in_poverty_percent,income_inequality,single_parent_households_percent,violent_crime_rate,injury_death_rate,particulate_matter,severe_housing_problems_percent,drive_alone_percent,Driving alone to work - 95% CI - Low - 2016,long_commute_percent,child_mortality_rate,infant_mortality_rate,frequent_physical_distress_percent,diabetic_percent,HIV_rate,food_insecure_percent,limited_access_to_food_percent,drug_overdose_mortality_rate,motor_vehicle_mortality_rate,insufficient_sleep_percent,uninsured_adults_percent,uninsured_children_percent,median_household_income,free_lunch_percent,segregation_black_to_white,segregation_nonwhite_to_white,homicide_rate,population_2016,age_under_18_percent,age_65_or_older_percent,black_percent,american_indian_percent,asian_percent,hawaiian_or_pac_islander_percent,hispanic_percent,white_non_hispanic_percent,not_proficient_in_english_percent,female_percent,rural_percent
01001,19.4,4.4,4.3,8.786701209,18.7,30.9,7.1,28.7,70.8214986,15.1,31.81818182,416.1112512,35.18352112,13.42053547,39.82189,32.49391,12.63652,62,769,83,56.47074961,5.883046915,18.1,4.303481107,27.30629927,253.6446171,76.43785057,12.92,13.6192626,89.23013586,87.152547,41.7,50.48834416,7.054296708,12.9,10.9,205.4068381,13.9,9.793530396,7.824019741,19.71531091,37.6,17.48118055,3.859071904,54366,36.94555933,32.84197911,28.53396636,5.1,55395,25.17736258,13.82976803,18.49444896,0.496434696,1.088545898,0.101092156,2.733098655,75.59707555,0.481429207,51.36203629,42.00216232
01003,16,4.1,4.2,8.507296643,18.6,26.7,7.6,25.2,72.1685458,15.1,39.43661972,308.1922533,41.62056131,17.48200251,75.17643,47.97337,77.95673,66,2083,80,62.33591821,6.053720212,19.8,4.494800495,28.22537442,220.6651063,70.18159488,13.13,14.70790378,84.07115202,82.54390557,36.8,51.34248941,5.919469199,12.2,10.9,174.3248816,13.7,5.460260624,16.02889293,15.9008659,32.8,22.06832065,5.713275744,49626,36.16030457,47.07210747,34.71646432,3.8,200111,22.16070081,18.68213142,9.395785339,0.743587309,0.907996062,0.0639645,4.56246783,83.00043476,1.429898278,51.22856815,42.27909911
01005,25.7,4.9,4.7,12.14828048,21.4,40.8,5.1,32.9,45.26714499,12.4,39.13043478,632.3296938,67.9023347,17.43989337,36.93308,37.1927,7.43854,63,264,80.53030303,43.35856848,10.80927484,38.1,5.285566706,54.48004112,146.8885763,63.73159476,12.62,17.5596817,83.51998243,81.0925288,35.1,59.79583992,12.95986622,15.4,15.3,399.4269092,22.3,11.42031572,,18.22204868,39.6,22.51259899,5.134228188,34971,,30.78853386,25.65645352,4.5,26887,21.16636293,16.48752185,47.19381114,0.591363856,0.490943579,0.174805668,4.533789564,46.58385093,2.150664003,46.61360509,67.7896347
01007,22,4.8,4.6,12.41573034,21,40.1,7.4,33.2,32.83875191,13.8,34.375,367.3053945,48.3937397,14.95413909,35.5366,17.77304,,59,270,81,48.92787524,7.137850467,26.8,4.251361262,32.04522097,235.9521105,74.7377584,12.87,12.99932295,84.03447832,80.07176044,45.7,110.6305944,14.0213124,14.8,12.5,124.8374512,16.2,2.144660992,14.78961769,23.91832521,40.6,19.01122522,4.245378834,39546,54.96402878,40.55975965,40.0086247,7.4,22506,21.02106105,14.78716787,21.90971297,0.42210966,0.222162979,0.128854528,2.106105039,74.5223496,0.521099893,45.93441749,68.35260746
01009,20.7,4.6,4.5,7.472798193,19.4,32.4,8.3,28.5,25.50853076,14.1,19.23076923,159.0979836,45.34792807,17.60695132,25.91927,19.05785,5.1976,61,690,84.97536232,49.14993353,6.146908264,24.1,4.124185627,28.26118326,219.0343442,88.52998563,12.66,12.33951498,85.07307831,82.83989829,59,51.89877948,6.049606776,13.9,11.7,93.72656836,12.1,1.062467654,24.21907887,24.66779458,36.2,22.29338125,6.036892119,45567,45.00305935,62.46644777,34.35306019,3.3,57719,23.59015229,17.00133405,1.637242503,0.628909025,0.291065334,0.114347095,8.735425077,87.75619813,1.765032377,50.53102098,89.95150204
01011,29.3,5.3,4.8,13.70235935,22.3,44.5,3.9,33.1,23.1995602,11.3,44,992.9348864,83.47315436,18.52198316,37.59752,18.58045,9.29023,60,123,82.5,34.50704225,9.083137423,43.1,5.767400807,72.53613666,283.3508523,89.62581223,12.75,15.37433155,77.71653543,70.78814823,47.1,152.2070015,,17,17.3,368.3035714,23.7,20.15173014,,47.66949153,44.1,24.2384106,4.94411006,26580,,16.08035775,15.19969585,,10764,21.42326273,14.86436269,69.11928651,0.836120401,0.25083612,0.733927908,7.460052025,22.12002973,2.573603044,45.25269417,51.37438153
01013,27.4,5.3,5.1,11.0042735,22.8,36,6,34.4,46.00658806,10.5,31.03448276,773.1324174,56.61664393,15.52918499,39.47693,24.6354,19.70832,62,259,68,43.69922933,8.570193451,36.7,5.036662643,52.34717296,483.0378778,79.58383478,12.82,18.58895706,86.42474873,83.27608647,35,51.66089787,,17.2,16.2,241.95928,22.3,2.832029115,,19.32647244,40.6,20.06865372,4.074979625,32512,70.81664099,33.80922533,33.40415577,10.2,20296,23.55636579,17.95427671,43.69333859,0.369530942,0.945999212,0.044343713,1.197280252,53.09913283,0.425974026,53.5819866,71.23215735
01015,22.3,4.9,4.9,8.873309965,23.8,32,6.2,33.6,59.28549742,12.9,25,680.330105,47.23742277,15.95774545,63.3909,53.48701,87.99475,56,1265,83.00316206,53.73339284,7.919188475,28.1,5.105586092,40.04363803,504.5156397,72.69466204,12.89,14.53075494,85.45029549,84.24811948,28.8,62.88363711,7.976366322,15,12.6,201.9545957,17.8,10.04382389,9.429972453,17.3913255,39,20.3831201,3.918565559,41123,53.55850422,51.42930746,47.0358177,10.8,115916,22.16432589,15.95897029,20.79436834,0.519341592,0.878222161,0.096621692,3.52841713,72.85448083,0.82972125,51.79267746,33.69682556
01017,25.8,5.1,4.9,12.12871287,20.8,39.8,5.7,34.8,61.1632325,12,33.33333333,901.2447158,60.70328542,16.76342005,38.05398,26.41155,,60,397,75.7581864,47.69630914,6.747860435,31.6,5.082479508,53.81465811,553.4591195,77.29966504,12.97,17.45507884,85.87039584,83.6782177,35.5,46.57816815,9.325681492,16.1,15.3,363.7749446,20.5,8.821524906,,25.39825293,39.5,21.36471271,3.784418635,34116,65.68772449,29.01844588,28.06958277,9.9,34076,21.35227139,18.34428924,39.20647963,0.25237704,0.777673436,0.058692335,1.974997065,56.84352624,0.208833339,52.31834722,49.14803449
01019,19.8,4.6,4.7,8.968883466,19.8,32.7,7.8,31,32.94855516,13.3,20,222.896891,49.80392157,16.4009221,22.89814,15.36275,19.20344,64,297,82,54.42703749,5.850075228,27.9,5.123188894,31.46543424,374.3691305,90.68273339,12.93,12.96768708,85.6637516,83.91089343,44,63.91818472,,14,12.5,130.2609711,15.1,0.132686376,19.16663472,25.92202435,34.3,20.38903968,5.118668084,38013,54.62042202,22.90380332,14.41148379,,26037,20.36332911,20.91638822,4.624188655,0.541537043,0.265007489,0.026884818,1.509390483,91.61577755,0.100904101,50.22852095,85.73627304
01021,20.8,4.6,4.6,9.339576146,21.2,37.1,7.8,32,32.32820842,14,28.76712329,337.7530295,58.20649938,19.17568041,18.20209,25.03927,38.69705,66,567,74,39.43114031,6.281052246,27.6,4.514099203,31.94692764,407.3969917,86.38341438,12.93,16.35471003,82.18895199,79.14895587,49.1,64.73090438,9.636767976,14.1,11.8,94.24809425,14.4,1.688604305,12.14873084,26.56504172,38.9,24.34452708,6.236911591,41450,56.37478794,35.88503908,26.49112255,7.5,43931,24.21524664,15.19883454,10.17504723,0.498509026,0.425667524,0.186656348,7.72347545,80.32368942,2.784370336,50.78873688,86.74472424
