FIPS,State,County,Premature death (Years of Potential Life Lost) - Unreliable,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Poor or fair health - Sample Size,Poor or fair health - % Fair/Poor,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor mental health days - Sample Size,Poor mental health days - Mentally Unhealthy Days,Low birthweight - Unreliable,Low birthweight - Sample Size,Low birthweight - % LBW,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult obesity - % Obese,Excessive drinking - Sample Size,Excessive drinking - % Excessive Drinking,Motor vehicle crash death rate - Unreliable,Motor vehicle crash death rate - MV mortality rate,Sexually transmitted infections - Under review,Sexually transmitted infections - Cases,Sexually transmitted infections - Population,"Sexually transmitted infections - Rates per 100,000",Teen birth rate - Teen Births ,Teen birth rate - Teen Birth Rate,Uninsured adults - % Uninsured,Primary care physicians* - PCP No,Primary care physicians* - PCP Rate,Primary care physicians* - PCP Ratio,Previous Primary care physician data--used to calculate rankings* - Unreliable,Previous Primary care physician data--used to calculate rankings* - Population,Previous Primary care physician data--used to calculate rankings* - PCP No,Previous Primary care physician data--used to calculate rankings* - PCP Rate,Previous Primary care physician data--used to calculate rankings* - PCP Ratio,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - No of Medicare enrollees,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - ACSC Rate,Diabetic screening - No of Diabetics,Diabetic screening - % HbA1c,Mammography screening - Mammography Rate,High school graduation - Under review,High school graduation - AFGR,Some college (post-secondary education) - PSED Num,Some college (post-secondary education) - Population,Some college (post-secondary education) - PSED,Unemployment - % unemployed,Children in poverty - % Children in Poverty,Inadequate social support - Sample Size,Inadequate social support - % No Social-Emotional Support,Single-parent households - % Single-Parent Households,Violent crime rate - Aggregate Population,Violent crime rate - Violent Crimes,Violent crime rate - Violent Crime Rate,Homicide rate - Unreliable,Homicide rate - Homicide Rate,Air pollution-particulate matter days - PM Days,Air pollution-ozone days - Ozone Days,Access to healthy foods - Unreliable,Access to healthy foods - Zip Codes with Healthy Food,Access to healthy foods - # Zip Codes,Access to healthy foods - % Healthy Food,Access to recreational facilities - Rec Facs,Access to recreational facilities - Population,Access to recreational facilities - Rec Fac Rate,Demographics - Population,Demographics - Percent  < 18,Demographics - Percent 65 and over,Demographics - Percent African American,Demographics - Percent American Indian/ Alaskan Native,Demographics - Percent Asian,Demographics - Percent Native Hawaiian/ Other Pacific Islander,Demographics - Percent Hispanic,Demographics - % not proficient in English,Demographics - Percent Female,Demographics - Percent Rural,% diabetic - Diabetes,HIV rate - HIV rate,Binge drinking - % binge drinking,Physical inactivity - % physically inactive,Mental health providers (MHP)  - No,Mental health providers (MHP)  - Population,Mental health providers (MHP)  - MPH Ratio,Median household income - Household income,% Households with high housing costs - # households with high housing costs,% Households with high housing costs - Households,% Households with high housing costs - % high housing costs,% of children eligible for free lunch - % free lunch,% illiterate - % illiterate,Liquor store density - Population,Liquor store density - Liquor Stores,Liquor store density - Liquor Store Rate,% of labor force that drives alone to work - No,% of labor force that drives alone to work - Workers,% of labor force that drives alone to work - % Drive Alone
01001,Alabama,Autauga,,675.0,9967.4,321.0,25.8,316.0,5.2,320.0,4.1,,4539.0,9.45,323.0,27.4,31.5,315.0,14.1,,28.3,,155.0,50364.0,307.8,600.0,52.0,15.5,22,43.690670056,2289:1,,50354.0,34.0,67.5,1481:1,9224.0,78.8536,259.0,81.8533,69.5122,,75.0,7660.0,13818.0,55.4,8.9,14.9,232.0,26.8,29.7,149423.0,383.0,256.3,,,3.0,0.0,,2.0,6.0,33.3,3.0,50354.0,6.0,50756.0,27.8,11.6,18.4,0.5,0.6,0.0,2.2,0.8,51.4,44.8,11.4,169.9,13.2,32.7,1.0,50354.0,50354:1,51622.0,4474.0,17745.0,25.2,28.8,12.7,50354.0,4.0,8.0,19529.0,22854.0,85.5
01003,Alabama,Baldwin,,2219.0,8321.8,1202.0,12.8,1177.0,3.4,1180.0,4.1,,13951.0,8.82,1199.0,21.9,26.2,1175.0,19.4,,23.2,,395.0,174439.0,226.4,1739.0,49.6,20.9,144,81.719746669,1224:1,,176212.0,213.0,120.9,827:1,43513.0,63.9873,902.0,80.3769,72.4967,,70.0,26292.0,42731.0,61.5,8.8,15.1,904.0,19.9,28.9,516214.0,1005.0,194.7,,,1.0,14.0,,11.0,20.0,55.0,21.0,176212.0,12.0,179878.0,23.1,17.0,10.0,0.5,0.6,0.0,3.3,1.8,51.0,54.2,9.8,176.1,16.8,25.2,29.0,176212.0,6076:1,51957.0,19339.0,65833.0,29.4,28.9,10.6,176212.0,18.0,10.0,63562.0,76686.0,82.9
01005,Alabama,Barbour,,403.0,9559.0,279.0,23.9,272.0,5.9,270.0,3.9,,2635.0,11.35,279.0,22.9,37.6,275.0,8.5,,29.2,,139.0,29309.0,474.3,521.0,79.9,16.3,11,36.868212897,2712:1,,29836.0,17.0,57.0,1755:1,6169.0,90.3883,197.0,83.2487,68.3168,,55.0,2869.0,8267.0,34.7,13.0,31.9,221.0,12.6,52.5,85902.0,62.0,72.2,,,7.0,0.0,,3.0,4.0,75.0,2.0,29836.0,7.0,29737.0,22.3,13.8,46.6,0.5,0.3,0.0,5.0,2.3,46.8,71.5,13.6,331.2,7.6,34.9,2.0,29836.0,14918:1,30896.0,3557.0,9787.0,36.3,65.1,23.2,29836.0,3.0,10.0,8347.0,10176.0,82.0
01007,Alabama,Bibb,,365.0,13282.9,253.0,18.2,246.0,4.4,243.0,5.0,,1882.0,9.94,252.0,33.0,32.3,249.0,11.3,,42.5,,65.0,21629.0,300.5,283.0,64.4,19.9,6,27.791931076,3598:1,,21589.0,9.0,41.7,2399:1,3955.0,95.4298,106.0,80.1887,67.2414,,60.0,2497.0,6198.0,40.3,12.0,25.0,212.0,26.6,32.0,64465.0,106.0,164.4,,,1.0,1.0,,6.0,7.0,85.7,2.0,21589.0,9.0,21587.0,23.3,13.5,22.3,0.3,0.1,0.0,1.5,0.9,48.0,81.5,11.1,89.5,9.4,36.6,0.0,21589.0,21589:0,41076.0,1273.0,7234.0,17.6,47.8,17.5,21589.0,1.0,5.0,7274.0,8745.0,83.2
01009,Alabama,Blount,,756.0,8475.0,305.0,25.3,298.0,5.5,299.0,4.8,,4793.0,7.32,306.0,22.3,31.9,304.0,4.9,,30.0,,60.0,57441.0,104.5,640.0,55.5,21.1,13,22.493684466,4446:1,,57794.0,21.0,36.3,2752:1,7975.0,101.1794,171.0,70.7602,56.7164,,70.0,6599.0,15586.0,42.3,9.1,17.3,228.0,13.5,24.1,170219.0,78.0,45.8,,,3.0,1.0,,4.0,6.0,66.7,3.0,57794.0,5.0,58345.0,24.2,14.7,2.1,0.5,0.2,0.0,7.9,4.1,50.2,91.0,11.4,66.2,4.5,34.6,1.0,57794.0,57794:1,46086.0,3956.0,18638.0,21.2,36.8,13.9,57794.0,0.0,0.0,19290.0,24111.0,80.0
01011,Alabama,Bullock,,214.0,15432.9,90.0,,89.0,5.4,88.0,5.9,,1179.0,13.83,91.0,,37.8,86.0,4.4,,59.3,,72.0,10796.0,666.9,228.0,88.9,18.8,5,45.783353173,2184:1,,10921.0,5.0,45.8,2184:1,1671.0,95.3855,47.0,70.2128,,,65.0,925.0,3013.0,30.7,14.3,38.0,70.0,,60.2,,,,,,7.0,0.0,,1.0,3.0,33.3,0.0,10921.0,0.0,10985.0,24.6,10.8,68.2,0.4,0.3,0.0,9.4,1.3,44.5,64.7,14.9,351.9,4.2,32.2,0.0,10921.0,10921:0,26980.0,1288.0,3632.0,35.5,92.1,34.2,10921.0,1.0,9.0,3328.0,4026.0,82.7
01013,Alabama,Butler,,384.0,12651.5,260.0,22.2,248.0,3.9,249.0,3.2,,1937.0,10.89,260.0,27.3,36.8,249.0,10.3,,35.6,,124.0,20090.0,617.2,353.0,67.0,17.3,9,44.618511725,2241:1,,20171.0,11.0,54.5,1834:1,6354.0,164.5055,194.0,68.5567,48.6486,,65.0,2078.0,4664.0,44.6,15.2,30.9,206.0,,49.9,60541.0,134.0,221.3,,,4.0,0.0,,2.0,4.0,50.0,0.0,20171.0,0.0,19964.0,24.8,16.2,41.9,0.2,0.5,0.0,1.0,0.5,52.9,74.8,15.1,208.5,8.2,35.0,1.0,20171.0,20171:1,31449.0,2386.0,7655.0,31.2,63.8,20.6,20171.0,1.0,5.0,6881.0,7920.0,86.9
01015,Alabama,Calhoun,,2106.0,11719.6,1016.0,23.2,995.0,5.1,1002.0,4.8,,10516.0,9.13,1021.0,26.7,33.5,998.0,13.3,,27.7,,690.0,113419.0,608.4,1547.0,58.6,15.6,87,76.704695738,1304:1,,113422.0,119.0,104.9,953:1,31163.0,93.2771,791.0,79.1403,58.7571,,70.0,14815.0,29703.0,49.9,10.1,22.9,776.0,22.5,38.2,339229.0,2018.0,594.9,,,5.0,0.0,,9.0,12.0,75.0,8.0,113422.0,7.0,114081.0,23.4,15.0,20.0,0.4,0.8,0.1,2.6,1.5,52.1,31.0,14.5,175.4,11.9,32.2,12.0,113422.0,9452:1,39997.0,12713.0,45099.0,28.2,44.6,14.6,113422.0,5.0,4.0,39969.0,46261.0,86.4
01017,Alabama,Chambers,,649.0,11319.0,268.0,37.7,249.0,4.4,259.0,4.8,,2963.0,10.73,267.0,19.9,35.5,259.0,11.3,,27.4,,211.0,34424.0,612.9,551.0,70.1,15.4,17,49.31395585,2028:1,,34473.0,23.0,66.7,1499:1,10947.0,86.5382,314.0,81.5287,62.1762,,60.0,3892.0,8907.0,43.7,18.2,26.8,199.0,33.0,42.3,104058.0,338.0,324.8,,,4.0,2.0,,4.0,4.0,100.0,2.0,34473.0,6.0,34320.0,22.5,16.8,37.8,0.2,0.2,0.0,1.5,0.7,52.6,49.8,16.1,275.3,10.5,36.0,1.0,34473.0,34473:1,35614.0,3799.0,12976.0,29.3,60.1,20.2,34473.0,6.0,17.0,11425.0,13441.0,85.0
01019,Alabama,Cherokee,,466.0,11752.5,174.0,28.6,163.0,5.8,168.0,4.4,,1838.0,8.98,174.0,25.5,31.5,167.0,14.9,,25.9,,38.0,24545.0,154.8,298.0,67.2,18.7,6,24.577069594,4069:1,,24413.0,11.0,45.1,2219:1,6327.0,115.9697,191.0,86.3874,62.5,,65.0,2426.0,6057.0,40.1,10.7,26.5,128.0,21.9,25.7,73499.0,38.0,51.7,,,4.0,0.0,,2.0,4.0,50.0,2.0,24413.0,8.0,24448.0,20.9,18.6,5.6,0.3,0.4,0.0,1.3,0.2,51.4,100.0,13.6,62.5,14.9,36.5,0.0,24413.0,24413:0,38028.0,2269.0,9593.0,23.7,43.4,16.4,24413.0,2.0,8.0,7509.0,9727.0,77.2
