FIPS,State,County,Premature death (Years of Potential Life Lost) - Unreliable,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Poor or fair health - Sample Size,Poor or fair health - % Fair/Poor,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor mental health days - Sample Size,Poor mental health days - Mentally Unhealthy Days,Low birthweight - Unreliable,Low birthweight - LBW Births,Low birthweight - Sample Size,Low birthweight - % LBW,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult obesity - % Obese,Physical inactivity - % Physically Inactive,Excessive drinking - Sample Size,Excessive drinking - % Excessive Drinking,Motor vehicle crash death rate - Unreliable,Motor vehicle crash death rate - Motor Vehicle Deaths,Motor vehicle crash death rate - MV Mortality Rate,Sexually transmitted infections - Cases,"Sexually transmitted infections - Rates per 100,000",Teen birth rate - Teen Births ,Teen birth rate - Teen Population,Teen birth rate - Teen Birth Rate,Uninsured - # Uninsured,Uninsured - % Uninsured,Primary care physicians* - # PCP,Primary care physicians* - PCP Rate,Primary care physicians* - PCP Ratio,Previous Primary care physician data--used to calculate rankings* - # PCP,Previous Primary care physician data--used to calculate rankings* - PCP Rate,Previous Primary care physician data--used to calculate rankings* - PCP Ratio,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - # Medicare enrollees,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - ACSC Rate,Diabetic screening - # Diabetics,Diabetic screening - % HbA1c,Mammography screening - # Medicare Enrollees,Mammography screening - % Mammography,High school graduation - % AFGR,Some college (post-secondary education) - PSED Num,Some college (post-secondary education) - Population,Some college (post-secondary education) - % PSED,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % Unemployed,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Inadequate social support - Sample Size,Inadequate social support - % No Social-Emotional Support,Children in single-parent households - # Single-Parent Households,Children in single-parent households - # Households,Children in single-parent households - % Single-Parent Households,Violent crime rate - Violent Crimes,Violent crime rate - Violent Crime Rate,Air pollution-particulate matter days - PM Days,Air pollution-ozone days - Ozone Days,Access to recreational facilities - Rec Facs,Access to recreational facilities - Rec Fac Rate,Limited access to healthy foods - # Limited Access,Limited access to healthy foods - % Limited Access,Access to healthy foods - Zip Codes with Healthy Foods_x,Access to healthy foods - # Zip Codes_x,Access to healthy foods - % Healthy Foods_x,Fast food restaurants - # Fast Foods,Fast food restaurants - % Fast Foods,Demographics - Population,Demographics - < 18,Demographics - 65 and over,Demographics - African American,Demographics - American Indian/ Alaskan Native,Demographics - Asian,Demographics - Native Hawaiian/ Other Pacific Islander,Demographics - Hispanic,Demographics - Population.1,Demographics - # not proficient in English,Demographics - % not proficient in English,Demographics - Female,Demographics - Rural,Diabetes - % diabetic,HIV prevalence rate - Population,HIV prevalence rate - HIV Rate,Mental health providers - # MPH,Mental health providers - MPH Rate,Mental health providers - MPH Ratio,Health care costs - Costs,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Could not see doctor due to cost - Sample Size,Could not see doctor due to cost - % Couldn't Access,Dentists - # Dentists,Dentists - Dentist Rate,Dentists - Dentist Ratio,Median household income - Household Income,High housing costs - # high housing costs,High housing costs - Households,High housing costs - % high housing costs,Children eligible for free lunch - % Free lunch,Illiteracy - % illiterate,Homicide rate - Homicide Rate,Commuting alone - # Drive Alone,Commuting alone - Workers,Commuting alone - % Drive Alone,Access to healthy foods - Zip Codes with Healthy Foods_y,Access to healthy foods - # Zip Codes_y,Access to healthy foods - % Healthy Foods_y
01001,Alabama,Autauga,,721.0,9865.83,341.0,22.2,335.0,4.9,341.0,4.1,,450.0,4663.0,9.7,343.0,24.6,34.1,32.2,336.0,15.9,,96.0,28.383136869,214.0,424.9,611.0,12067.0,50.6,6059.0,13.8,22,43.690670056,2289:1,34.0,67.5,1481:1,4155.0,90.71083413,565.0,84.247787611,351.0,63.817663818,84.5,7941.0,14639.0,54.245508573,1933.0,24132.0,8.0,2530.0,17.5,293.0,23.7,4338.0,14687.0,29.536324641,444.0,290.50937285,3.0,0.0,4.0,7.8808416739,9274.0,21.02,,,,30.0,46.875,50756.0,27.8,11.6,18.4,0.5,0.6,0.0,2.2,49635.0,466.0,0.9388536315,51.4,44.8,12.3,50756.0,185.32,1.0,2.0,50354:1,10146.32,5312.0,17.8,344.0,16.7,11.0,20.990363515,4764:1,53049.0,4973.0,19718.0,25.22061061,28.8,12.7,,21279.0,24499.0,86.856606392,2.0,6.0,33.3
01003,Alabama,Baldwin,,2228.0,8091.77,1437.0,12.5,1409.0,3.4,1413.0,4.2,,1288.0,14373.0,9.0,1432.0,22.7,25.5,25.1,1400.0,19.7,,263.0,23.183653321,471.0,270.0,1802.0,36008.0,50.0,23971.0,16.4,144,81.719746669,1224:1,213.0,120.9,827:1,21083.0,57.965565436,2262.0,80.946065429,1752.0,71.689497717,72.6,26343.0,43354.0,60.762559395,7256.0,81390.0,8.9,8357.0,20.2,1244.0,19.3,11651.0,40849.0,28.522118045,1196.0,241.88051992,1.0,14.0,18.0,10.006782375,999.0,0.72,,,,112.0,35.668789809,179878.0,23.1,17.0,10.0,0.5,0.6,0.0,3.3,164899.0,3640.0,2.2074118097,51.0,54.2,11.4,179878.0,176.71,29.0,16.5,6076:1,10018.91,21017.0,20.0,1440.0,16.1,83.0,48.142734507,2077:1,47618.0,20569.0,69476.0,29.605907076,28.9,10.6,4.496,64459.0,77184.0,83.513422471,11.0,20.0,55.0
01005,Alabama,Barbour,,366.0,8835.69,323.0,24.8,314.0,6.1,316.0,4.6,,311.0,2580.0,12.1,324.0,23.4,37.0,34.2,319.0,11.0,,57.0,28.495155824,208.0,709.7,493.0,6638.0,74.3,4781.0,19.4,11,36.868212897,2712:1,17.0,57.0,1755:1,2746.0,114.56612111,434.0,84.792626728,248.0,65.322580645,64.1,2970.0,7588.0,39.14074855,1187.0,9773.0,12.1,2145.0,36.2,283.0,17.6,3237.0,6230.0,51.958266453,104.0,189.96474693,7.0,0.0,1.0,3.3628140028,1275.0,4.85,,,,21.0,63.636363636,29737.0,22.3,13.8,46.6,0.5,0.3,0.0,5.0,25962.0,554.0,2.1338879901,46.8,71.5,14.0,29737.0,334.91,2.0,6.7,14918:1,9979.23,4392.0,24.0,324.0,17.9,9.0,32.424253341,3084:1,33074.0,3191.0,9795.0,32.57784584,65.1,23.2,,7631.0,9661.0,78.987682435,2.0,4.0,50.0
01007,Alabama,Bibb,,378.0,13096.85,287.0,20.5,280.0,4.8,277.0,5.6,,187.0,1867.0,10.0,286.0,35.1,34.0,37.2,282.0,13.1,,62.0,41.189718515,69.0,319.0,273.0,4639.0,58.8,3349.0,18.4,6,27.791931076,3598:1,9.0,41.7,2399:1,1821.0,96.043898957,287.0,81.533101045,170.0,58.235294118,67.3,2566.0,6358.0,40.358603334,905.0,8444.0,10.7,1448.0,28.6,264.0,29.1,1872.0,5274.0,35.494880546,135.0,219.74802227,1.0,1.0,1.0,4.6324176588,7087.0,35.34,,,,7.0,53.846153846,21587.0,23.3,13.5,22.3,0.3,0.1,0.0,1.5,21226.0,175.0,0.8244605672,48.0,81.5,11.8,21587.0,99.939,0.0,0.0,21589:0,12040.0,3028.0,22.9,287.0,17.9,4.0,17.826900793,5609:1,35472.0,1518.0,7441.0,20.400483806,47.8,17.5,,8092.0,9521.0,84.991072366,5.0,7.0,71.4
01009,Alabama,Blount,,781.0,8698.84,315.0,25.2,307.0,6.1,308.0,5.1,,363.0,4828.0,7.5,317.0,22.7,32.0,35.9,314.0,5.2,,121.0,31.160831093,50.0,87.0,618.0,12032.0,51.4,8591.0,17.6,13,22.493684466,4446:1,21.0,36.3,2752:1,4814.0,87.375959933,621.0,82.286634461,398.0,66.834170854,75.3,6710.0,15012.0,44.697575273,2319.0,26016.0,8.9,3356.0,24.1,278.0,14.3,3543.0,14006.0,25.296301585,110.0,142.597874,3.0,1.0,3.0,5.1418287771,14841.0,29.4,,,,24.0,55.813953488,58345.0,24.2,14.7,2.1,0.5,0.2,0.0,7.9,53081.0,2269.0,4.2745991975,50.2,91.0,12.6,58345.0,68.977,1.0,1.7,57794:1,10755.04,7642.0,21.9,317.0,18.6,5.0,8.8904694168,11248:1,42906.0,5007.0,20605.0,24.299927202,36.8,13.9,5.408,19335.0,23978.0,80.636416715,3.0,6.0,50.0
01011,Alabama,Bullock,,201.0,13597.75,,,87.0,5.2,87.0,5.7,,164.0,1199.0,13.7,,,39.4,30.9,85.0,4.6,,48.0,61.957068914,91.0,842.9,236.0,2621.0,90.0,1982.0,21.1,5,45.783353173,2184:1,5.0,45.8,2184:1,1266.0,96.578505001,214.0,83.177570093,114.0,64.912280702,58.3,1057.0,2746.0,38.492352513,537.0,3651.0,14.7,958.0,40.3,,,1607.0,2496.0,64.383012821,131.0,473.02664837,7.0,0.0,0.0,0.0,1598.0,15.82,,,,4.0,66.666666667,10985.0,24.6,10.8,68.2,0.4,0.3,0.0,9.4,10279.0,74.0,0.7199143886,44.5,64.7,15.6,10985.0,378.11,0.0,0.0,10921:0,10049.02,1814.0,26.8,,,2.0,18.163654527,5505:1,25969.0,1119.0,3732.0,29.98392283,92.1,34.2,,3347.0,4090.0,81.833740831,1.0,3.0,33.3
01013,Alabama,Butler,,381.0,12230.6,301.0,24.1,288.0,4.3,290.0,3.5,,220.0,1944.0,11.3,301.0,28.7,40.8,36.6,289.0,8.8,,53.0,36.830876783,121.0,602.3,344.0,5215.0,66.0,2896.0,17.8,9,44.618511725,2241:1,11.0,54.5,1834:1,2759.0,174.53136556,407.0,79.606879607,223.0,53.3632287,75.5,2185.0,4888.0,44.701309329,1091.0,8993.0,12.1,1971.0,39.6,270.0,27.6,2514.0,5036.0,49.920571882,214.0,433.41772152,4.0,0.0,0.0,0.0,579.0,2.75,,,,17.0,47.222222222,19964.0,24.8,16.2,41.9,0.2,0.5,0.0,1.0,19550.0,102.0,0.5217391304,52.9,74.8,16.6,19964.0,222.12,1.0,5.0,20171:1,12589.61,2594.0,22.7,301.0,17.9,4.0,19.144251938,5223:1,29500.0,2510.0,8019.0,31.30066093,63.8,20.6,14.593,6911.0,7876.0,87.747587608,2.0,4.0,50.0
01015,Alabama,Calhoun,,2033.0,11208.41,1224.0,23.1,1194.0,5.1,1201.0,4.9,,949.0,10495.0,9.0,1229.0,26.8,33.6,33.9,1198.0,12.5,,211.0,26.789602587,616.0,543.1,1501.0,25976.0,57.8,14673.0,15.5,87,76.704695738,1304:1,119.0,104.9,953:1,15224.0,91.265503269,2090.0,78.612440191,1241.0,60.918614021,71.7,14734.0,29935.0,49.219976616,5017.0,52565.0,9.5,8373.0,31.5,1063.0,22.4,10435.0,26562.0,39.285445373,2259.0,1005.8283725,5.0,0.0,7.0,6.135991094,20814.0,18.92,,,,95.0,58.641975309,114081.0,23.4,15.0,20.0,0.4,0.8,0.1,2.6,109883.0,1993.0,1.8137473495,52.1,31.0,14.2,114081.0,173.89,12.0,10.6,9452:1,11047.15,13276.0,19.4,1232.0,17.3,43.0,37.001660772,2702:1,37916.0,13395.0,46421.0,28.855474893,44.6,14.6,11.808,39805.0,46345.0,85.888445355,9.0,12.0,75.0
01017,Alabama,Chambers,,660.0,11218.17,317.0,41.1,293.0,4.4,303.0,4.8,,329.0,2968.0,11.1,316.0,21.4,35.2,35.8,308.0,12.7,,67.0,27.082415428,194.0,563.6,547.0,7785.0,70.3,5196.0,18.7,17,49.31395585,2028:1,23.0,66.7,1499:1,5081.0,72.718388627,762.0,84.120734908,449.0,67.037861915,60.8,3925.0,8519.0,46.073482803,1931.0,14060.0,13.7,3290.0,43.5,271.0,32.6,3732.0,8090.0,46.131025958,473.0,539.7879649,4.0,2.0,2.0,5.8275058275,293.0,0.81,,,,22.0,53.658536585,34320.0,22.5,16.8,37.8,0.2,0.2,0.0,1.5,32494.0,245.0,0.7539853511,52.6,49.8,16.2,34320.0,276.23,1.0,2.9,34473:1,9623.32,4752.0,23.5,318.0,19.9,7.0,20.087812437,4978:1,30061.0,4292.0,13681.0,31.371975733,60.1,20.2,,10928.0,13255.0,82.444360619,4.0,4.0,100.0
01019,Alabama,Cherokee,,475.0,11612.66,181.0,29.0,170.0,5.6,175.0,4.6,,163.0,1806.0,9.0,181.0,25.2,30.6,35.9,173.0,12.7,,47.0,27.363922706,45.0,183.3,282.0,4553.0,61.9,3469.0,17.8,6,24.577069594,4069:1,11.0,45.1,2219:1,3030.0,113.56743382,477.0,89.308176101,293.0,66.894197952,66.6,2663.0,6072.0,43.857048748,1036.0,11355.0,9.1,1816.0,33.1,157.0,23.0,1356.0,5295.0,25.609065156,112.0,155.73291805,4.0,0.0,1.0,4.0903141361,19.0,0.08,,,,16.0,61.538461538,24448.0,20.9,18.6,5.6,0.3,0.4,0.0,1.3,24363.0,93.0,0.3817263884,51.4,100.0,13.2,24448.0,91.315,0.0,0.0,24413:0,9922.3,3145.0,21.7,181.0,14.8,2.0,7.8268696435,12776:1,34410.0,2766.0,11352.0,24.365750529,43.4,16.4,,7970.0,10234.0,77.877662693,2.0,4.0,50.0
