FIPS,State,County,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - Z-Score,Poor or fair health - Sample Size,Poor or fair health - % Fair/Poor,Poor or fair health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days - Z-Score,Poor mental health days - Sample Size,Poor mental health days - Mentally Unhealthy Days,Poor mental health days - Z-Score,Low birthweight - Unreliable,Low birthweight - LBW Births,Low birthweight - Live Births,Low birthweight - % LBW,Low birthweight - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - Z-Score,Physical inactivity - % Physically Inactive,Physical inactivity - Z-Score,Excessive drinking - Sample Size,Excessive drinking - % Excessive Drinking,Excessive drinking - Z-Score,Motor vehicle crash death rate - Motor Vehicle Deaths,Motor vehicle crash death rate - MV Mortality Rate,Motor vehicle crash death rate - Z-Score,Sexually transmitted infections - Chlamydia Cases,Sexually transmitted infections - Chlamydia Rate,Sexually transmitted infections - Z-Score,Teen birth rate - Teen Births ,Teen birth rate - Teen Population,Teen birth rate - Teen Birth Rate,Teen birth rate - Z-Score,Uninsured - # Uninsured,Uninsured - % Uninsured,Uninsured - Z-Score,Primary care physicians* - # PCP,Primary care physicians* - PCP Rate,Primary care physicians* - PCP Ratio,Primary care physicians* - Z-Score,Dentists* ^ - # Dentists,Dentists* ^ - Dentist Rate,Dentists* ^ - Dentist Ratio,Previous Dentists data -- used to calculate rankings* ^ - # Dentists,Previous Dentists data -- used to calculate rankings* ^ - Dentist Rate,Previous Dentists data -- used to calculate rankings* ^ - Dentist Ratio,Previous Dentists data -- used to calculate rankings* ^ - Z-Score,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - # Medicare enrollees,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - ACSC Rate,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - Z-Score,Diabetic screening - # Diabetics,Diabetic screening - % HbA1c,Diabetic screening - Z-Score,Mammography screening - # Medicare Enrollees,Mammography screening - % Mammography,Mammography screening - Z-Score,High school graduation* - AFGR,High school graduation* - Z-Score,Some college (post-secondary education) - # Some College,Some college (post-secondary education) - Population,Some college (post-secondary education) - % Some College,Some college (post-secondary education) - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % Unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - Z-Score,Inadequate social support - Sample Size,Inadequate social support - % No Social-Emotional Support,Inadequate social support - Z-Score,Children in single-parent households - # Single-Parent Households,Children in single-parent households - # Households,Children in single-parent households - % Single-Parent Households,Children in single-parent households - Z-Score,Violent crime rate - Annual Violent Crimes,Violent crime rate - Violent Crime Rate,Violent crime rate - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop,Drinking water safety - Z-Score,Access to recreational facilities - # Rec Facilities,Access to recreational facilities - Rec Facility Rate,Access to recreational facilities - Z-Score,Limited access to healthy foods* - # Limited Access,Limited access to healthy foods* - % Limited Access,Limited access to healthy foods* - Z-Score,Fast food restaurants - # Fast Foods,Fast food restaurants - % Fast Foods,Fast food restaurants - Z-Score,Demographics - Population,Demographics - < 18,Demographics - 65 and over,Demographics - African American,Demographics - American Indian/ Alaskan Native,Demographics - Asian,Demographics - Native Hawaiian/ Other Pacific Islander,Demographics - Hispanic,Demographics - Non-hispanic white,Demographics - # not proficient in English,Demographics - % not proficient in English,Demographics - Female,Demographics - Rural,Diabetes - % diabetic,HIV prevalence rate - HIV Cases,HIV prevalence rate - HIV Rate,Premature age-adjusted mortality - Total deaths,Premature age-adjusted mortality - Age-adjusted Mortality,Child mortality - Total deaths,Child mortality - Mortality rate,Infant mortality - Total deaths,Infant mortality - Mortality rate,Mental health providers - # MHP,Mental health providers - MHP Rate,Mental health providers - MHP Ratio,Health care costs - Costs,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured children - # Uninsured,Uninsured children - % Uninsured,Could not see doctor due to cost - Sample Size,Could not see doctor due to cost - % Couldn't Access,Median household income - Household Income,High housing costs - # high housing costs,High housing costs - Households,High housing costs - % high housing costs,Children eligible for free lunch - % Free lunch,Homicide rate - Homicide Rate,Commuting alone - # Drive Alone,Commuting alone - Workers,Commuting alone - % Drive Alone,Access to Parks - % park access
01000,Alabama,,70721.0,9608.9,,41125.0,20.1,,40005.0,4.2,,40298.0,4.1,,,45428.0,434726.0,10.4,,41093.0,22.5,,32.870449813,,30.661285389,,39883.0,12.3,,7559.0,23.145770125,,26875.0,562.26954794,,57237.0,1160241.0,49.331992233,,681437.0,16.9,,2916.0,60.93533,1641:1,,1970,41.166869999999996,2429:1,1970.0,40.1941,2488:1,,488857.0,80.069999933,,66345.0,83.688296028,,39019.0,65.270765524,,72.0,,692921.0,1227696.0,56.440763837,,196542.0,2190519.0,9.0,,307310.0,27.6,,32790.0,22.5,,416760.0,1122964.0,37.112498709,,20120.333333,426.569135,,12.85,,1.2789908011,70851.0,,349.0,7.2930147338,,367290.19933,7.6752230237,,3286.0,53.807106599,,4802740.0,23.468749089,14.004214261,26.18865481,0.6933125674,1.1900498465,0.1088337074,4.0366124337,66.764825912,65699.0,1.478454184,51.496624843,40.963182904,12.657062808,10616.0,272.3,70721.0,464.6,3591.0,79.203789078,2864.0,925.67753196,939.0,19.62218,5096:1,10048.35,615736.0,21.2,74298.0,6.3,41266.0,16.3,41427.0,543631.0,1831269.0,29.686026466,48.701246427,9.1370522626,1673170.0,1995834.0,83.833124398,15.990238812
01001,Alabama,Autauga,729.0,8376.42,-1.135994137,383.0,23.2,0.1297096741,374.0,5.1,0.7238264676,382.0,4.3,0.0990390588,,450.0,4765.0,9.4,-0.64755114,385.0,23.5,0.3167136806,34.1,-0.248536842,32.2,-0.287659708,374.0,16.5,1.49893008,87.0,23.916999764,-0.623150972,198.0,362.8,-0.622695469,608.0,14304.0,42.505592841,-0.907386377,6467.0,13.6,-2.057506217,20.0,36.60523,2732:1,0.2816560547,14,25.62366,3903:1,14.0,25.41204,3935:1,0.1099791726,4416.0,70.949999809,-0.744715316,591.0,84.771573604,-0.496581576,352.0,68.465909091,-1.039843537,80.0,-0.503708443,7990.0,14690.0,54.390742001,-0.694508526,2076.0,25930.0,8.0,-0.900556088,2999.0,21.0,-1.388189481,293.0,23.7,0.1688672128,3872.0,14627.0,26.471593628,-1.166002552,157.0,300.33668316,-0.301034454,13.31,0.7057180737,0.0,0.0,-0.312313964,4.0,7.3210461775,-0.6723092,5344.4274725,9.7935303961,0.4063421893,36.0,52.173913043,0.0316877104,55267.0,26.033618615,12.255052744,18.325583079,0.4831092695,0.9246023848,0.0940886967,2.6019143431,76.401831111,271.0,0.5379545815,51.22043896,42.002162321,12.3,76.0,185.0,729.0,439.5,35.0,59.215646466,27.0,807.41626794,2.0,3.66052,27319:1,9489.02,5771.0,17.4,811.0,5.3,386.0,17.5,48863.0,5361.0,19998.0,26.807680768,36.116720517,3.5738045624,21262.0,24349.0,87.321861267,20.0
01003,Alabama,Baldwin,2325.0,7770.16,-1.474249721,1526.0,12.5,-2.066956318,1494.0,3.3,-1.552724519,1501.0,3.8,-0.567958684,,1325.0,15068.0,8.8,-0.985184808,1521.0,22.6,0.1153826792,25.5,-2.330032897,25.1,-2.38001021,1474.0,18.7,2.091089093,239.0,19.975394326,-1.07298122,558.0,306.1,-0.810857173,1842.0,38182.0,48.242627416,-0.408943499,28586.0,19.1,0.7982039184,136.0,74.21191,1347:1,-1.567509088,78,42.56271,2349:1,78.0,42.03356,2379:1,-1.096146089,21837.0,56.209999919,-1.258387768,2342.0,80.871050384,0.3772623559,1746.0,69.873997709,-1.293747581,74.0,0.272307989,27428.0,44138.0,62.141465404,-1.587956911,6916.0,85407.0,8.1,-0.864295716,8611.0,20.5,-1.452395401,1244.0,19.3,-0.744160599,11664.0,41447.0,28.141964437,-1.019766156,360.0,214.73520962,-0.710604521,11.8,-1.721117328,7.855243008,14619.0,0.4829527658,16.0,8.730812675,-1.013483762,9952.144027,5.4602606243,-0.291108847,112.0,35.443037975,-1.625419827,186717.0,22.798673929,17.072360846,9.5749181917,0.7192703396,0.755689091,0.0658750944,4.529314417,83.246303229,2788.0,1.6554443217,51.151743012,42.279099114,11.4,269.0,179.0,2325.0,365.0,97.0,58.711731451,66.0,589.07533024,32.0,17.46163,5727:1,9618.34,25021.0,23.1,3950.0,9.1,1529.0,15.5,50144.0,21260.0,70757.0,30.046497166,36.761938576,4.1789527879,65382.0,78770.0,83.003681605,5.0
01005,Alabama,Barbour,422.0,9458.14,-0.53246128,377.0,22.4,-0.034527036,368.0,5.0,0.5973514128,371.0,4.1,-0.167760038,,309.0,2516.0,12.3,0.9843449236,379.0,23.5,0.3167136806,37.0,0.4533629901,34.2,0.3017348003,370.0,12.7,0.4761099665,51.0,26.17344268,-0.365637557,177.0,644.6,0.3124715158,469.0,6301.0,74.432629741,1.8664864202,3782.0,18.5,0.4866719037,12.0,43.81161,2283:1,-0.072690203,9,32.85871,3043:1,9.0,29.42811,3398:1,-0.181443576,3240.0,109.25999999,0.5903451916,487.0,85.831622177,-0.734066898,281.0,64.768683274,-0.373166333,61.087854393,1.9423141823,3164.0,7511.0,42.124883504,0.7194125883,1110.0,9761.0,11.4,0.3322965372,2330.0,39.8,1.0259530983,283.0,17.6,-1.096921344,3454.0,6111.0,56.521027655,1.4647432158,42.5,150.04942805,-1.02010106,12.11,-1.222892842,7.7501445922,2814.0,0.4723125764,1.0,3.6509675064,0.2158786558,3135.6760862,11.420315716,0.6681775163,19.0,55.882352941,0.3989897002,27119.0,21.811276227,14.624433054,46.406578414,0.648991482,0.4461816439,0.1696227737,5.3468048232,46.679449832,400.0,1.5457742397,46.543014123,67.789634702,14.0,86.0,344.5,422.0,459.3,26.0,105.2588964,27.0,1539.3386545,1.0,3.65097,27390:1,9761.77,3424.0,23.6,398.0,6.4,379.0,17.1,30117.0,3107.0,9589.0,32.401710293,66.388961208,5.1320475843,7404.0,9447.0,78.374087012,4.0
01007,Alabama,Bibb,390.0,11543.9,0.631263799,330.0,21.0,-0.321941278,321.0,5.0,0.5973514128,319.0,5.3,1.4330345444,,215.0,1803.0,11.9,0.7592558114,329.0,32.8,2.3971340287,34.0,-0.272740285,37.2,1.185826562,321.0,13.2,0.6106915604,53.0,33.78787589,0.5033490603,75.0,327.3,-0.740503943,245.0,5127.0,47.786229764,-0.448596068,3166.0,17.7,0.071295884,6.0,26.22378,3813:1,0.7921245592,5,21.85315,4576:1,5.0,19.91714,5021:1,0.5087109401,1863.0,87.329999924,-0.173890697,303.0,85.478547855,-0.654966778,166.0,57.228915663,0.9863911969,73.0,0.401644061,2586.0,6098.0,42.407346671,0.6868522392,913.0,9216.0,9.9,-0.211609033,1499.0,30.5,-0.168277007,264.0,29.1,1.2894013452,2011.0,5336.0,37.687406297,-0.184088827,52.666666667,246.49755063,-0.558633958,13.68,1.3003731059,0.0,0.0,-0.312313964,1.0,4.3706293706,0.0417148339,491.44906624,2.1446609917,-0.824763229,5.0,45.454545455,-0.633831256,22766.0,22.050426074,13.26100325,22.21734165,0.3118685759,0.1273829395,0.1317754546,1.9898093648,74.523412106,172.0,0.8022762256,46.138979179,68.352607462,11.8,18.0,99.5,390.0,541.8,22.0,103.89119758,17.0,1192.1458626,,,,11269.81,2870.0,22.4,325.0,6.1,330.0,17.9,37347.0,1589.0,7225.0,21.993079585,53.502277904,7.6500851072,7428.0,8930.0,83.180291153,
01009,Alabama,Blount,826.0,8505.64,-1.063897369,340.0,21.5,-0.219293334,334.0,5.2,0.8503015224,333.0,4.0,-0.301159587,,372.0,4888.0,7.6,-1.660452145,341.0,22.0,-0.018837988,32.0,-0.756809135,35.9,0.8027201319,337.0,5.4,-1.488781304,111.0,28.302536264,-0.122657708,65.0,113.4,-1.450341481,632.0,12891.0,49.026452564,-0.340843498,9351.0,19.3,0.9020479233,12.0,20.91066,4782:1,1.0533768581,11,19.1681,5217:1,11.0,19.00615,5261:1,0.5748163333,3899.0,95.189999819,0.1000214777,515.0,84.466019417,-0.42812751,312.0,66.025641026,-0.599818726,81.091197462,-0.644839636,6474.0,14942.0,43.327533128,0.5807796751,2191.0,26347.0,8.3,-0.791774974,3094.0,22.2,-1.234095274,278.0,14.3,-1.781692203,3700.0,14046.0,26.34201908,-1.17734645,59.0,101.84881493,-1.250722421,13.04,0.2717806178,6.7298742684,4266.0,0.3690201584,3.0,5.2276648021,-0.16569447,609.02770839,1.0624676536,-0.99894506,22.0,56.41025641,0.4512758367,57677.0,24.394472667,15.033722281,1.6817795655,0.6224318186,0.2149903774,0.1074951887,8.5580040571,88.003883697,1589.0,2.9679299202,50.552213187,89.951502041,12.6,39.0,80.8,826.0,426.2,36.0,63.883023087,23.0,605.74137477,1.0,1.74255,57387:1,10238.2,8295.0,23.9,1191.0,8.1,343.0,15.4,41940.0,4990.0,20954.0,23.814068913,43.931360262,4.0796448669,18857.0,23566.0,80.017822286,1.0
01011,Alabama,Bullock,192.0,9883.66,-0.295047438,99.0,25.1,0.5197718597,96.0,5.0,0.5973514128,,,0.0,,177.0,1253.0,14.1,1.9972459287,,,0.0,39.4,1.03424561,30.9,-0.670766138,,,0.0,45.0,58.664024613,3.0,84.0,769.7,0.727621941,240.0,2799.0,85.744908896,2.8493155978,1285.0,16.2,-0.707534153,6.0,55.08124000000001,1816:1,-0.626831582,2,18.36041,5447:1,2.0,15.894459999999999,6292:1,0.8006132125,1035.0,117.25999999,0.8691362124,180.0,76.111111111,1.4436434064,86.0,56.976744186,1.0318623105,71.0,0.6603162048,1166.0,2989.0,39.009702242,1.0785085752,576.0,3762.0,15.3,1.7464510188,937.0,41.1,1.1928884894,,,0.0,1601.0,2384.0,67.156040268,2.3958094849,41.666666667,386.07653581,0.1091977029,12.48,-0.628237809,0.0,0.0,-0.312313964,0.0,0.0,1.0994414595,2199.3598279,20.151730144,2.0735213706,2.0,50.0,-0.183627249,10542.0,21.874407133,13.612217795,68.336179093,0.9011572757,0.2086890533,0.8062986151,7.7499525707,22.879908936,321.0,3.1452087008,45.731360273,51.374381528,15.6,32.0,358.4,192.0,514.8,,,10.0,1191.8951132,,,,9567.91,1167.0,21.1,131.0,5.2,,,26038.0,1114.0,3760.0,29.627659574,90.120329322,,3096.0,3910.0,79.181585678,1.0
01013,Alabama,Butler,389.0,11005.65,0.330953589,345.0,19.8,-0.568296342,332.0,3.8,-0.920349245,333.0,3.2,-1.368355975,,202.0,1949.0,10.4,-0.084828359,346.0,29.0,1.5470698004,40.8,1.3730938049,36.6,1.0090082097,331.0,9.7,-0.331379597,42.0,28.73327313,-0.073500461,135.0,644.5,0.312139661,309.0,5001.0,61.787642472,0.767869398,2971.0,17.1,-0.240236131,7.0,33.42725,2992:1,0.4379212635,6,28.65193,3490:1,6.0,28.20344,3546:1,-0.092576344,2560.0,142.95999956,1.7647523519,384.0,82.8125,-0.057685437,197.0,59.898477157,0.5050206007,72.0,0.5309801329,2312.0,4886.0,47.318870242,0.12068666,1080.0,9311.0,11.6,0.4048172798,1726.0,35.7,0.4994645571,270.0,27.6,0.978141864,2553.0,5029.0,50.765559753,0.9608677414,75.333333333,370.1762432,0.0331209295,12.4,-0.75681187,0.0,0.0,-0.312313964,0.0,0.0,1.0994414595,593.22513862,2.8320291145,-0.714129542,16.0,47.058823529,-0.474935724,20650.0,23.607748184,17.055690073,43.176755448,0.3631961259,0.9152542373,0.0532687651,1.0847457627,53.772397094,27.0,0.1383763838,53.094430993,71.23215735,16.6,34.0,207.4,389.0,553.0,13.0,63.985824679,14.0,1020.4081633,1.0,4.77532,20941:1,10612.92,2717.0,21.9,291.0,5.5,346.0,17.2,30489.0,2633.0,8090.0,32.546353523,67.874109264,9.5777577101,6900.0,7833.0,88.088854845,10.0
01015,Alabama,Calhoun,2042.0,11097.28,0.3820774618,1337.0,23.5,0.1912984403,1303.0,5.1,0.7238264676,1312.0,5.0,1.0328358987,,961.0,10452.0,9.2,-0.760095696,1339.0,26.2,0.9207066849,33.6,-0.369554055,33.9,0.2133256241,1293.0,12.7,0.4761099665,185.0,22.734338806,-0.758120512,671.0,565.9,0.0513017439,1481.0,28890.0,51.263412946,-0.146492749,15920.0,16.1,-0.759456155,74.0,62.486279999999994,1600:1,-0.990945909,53,44.75369,2234:1,53.0,43.677119999999995,2290:1,-1.21540924,15258.0,99.239999771,0.2411594304,2068.0,80.077369439,0.5550726748,1242.0,59.98389694,0.4896178568,78.540309975,-0.314917869,14598.0,29672.0,49.197897007,-0.09591421,4944.0,53790.0,9.2,-0.465431632,8419.0,31.8,-0.001341616,1063.0,22.4,-0.100891004,10626.0,26710.0,39.782852864,-0.000638211,705.66666667,725.3925069,1.7326938774,13.05,0.2878523754,0.0,0.0,-0.312313964,9.0,7.5996825022,-0.739741378,11909.162858,10.043823886,0.4466275772,94.0,55.294117647,0.3407280053,117797.0,22.813823782,14.557246789,20.605787923,0.5246313573,0.7691197569,0.094229904,3.4236865115,73.329541499,1144.0,1.0361474155,51.876533358,33.696825557,14.2,166.0,175.6,2042.0,532.3,88.0,81.336130803,65.0,908.07488125,11.0,9.2885,10766:1,11551.97,14592.0,20.1,1520.0,5.4,1344.0,17.9,39060.0,13579.0,45923.0,29.569061255,50.982392098,11.305725244,39740.0,46580.0,85.315586088,17.0
01017,Alabama,Chambers,643.0,10367.83,-0.024910523,351.0,39.6,3.4965622231,328.0,4.8,0.3444013031,337.0,4.0,-0.301159587,,327.0,2861.0,11.4,0.4778944211,351.0,23.8,0.3838240144,35.2,0.0177010251,35.8,0.7732504065,340.0,7.9,-0.815873335,66.0,27.082922986,-0.26184438,227.0,663.5,0.3751920837,510.0,7918.0,64.410204597,0.995721853,5324.0,18.8,0.642437911,14.0,41.00401,2439:1,0.065362716,9,26.35972,3794:1,9.0,26.01081,3845:1,0.0665299262,4741.0,89.299999952,-0.105238407,767.0,86.049543677,-0.782888394,423.0,64.539007092,-0.331751531,79.139465875,-0.392410339,3903.0,8396.0,46.486422106,0.2166453731,1689.0,14837.0,11.4,0.3322965372,2912.0,39.1,0.9360648108,271.0,32.6,2.015673468,3934.0,7850.0,50.114649682,0.9038823448,171.0,583.2395375,1.052546694,13.2,0.5289287398,0.0,0.0,-0.312313964,2.0,5.8577160765,-0.318171825,3018.2847466,8.821524906,0.2498953784,22.0,53.658536585,0.178732073,33939.0,22.254633313,16.968679101,38.483750258,0.2150917823,0.5922390171,0.0441969416,1.676537317,58.107192316,100.0,0.3089661991,52.21132031,49.148034488,16.2,81.0,281.6,643.0,531.1,20.0,62.831830605,15.0,761.03500761,1.0,2.92886,34143:1,9133.38,4901.0,23.7,472.0,5.9,353.0,21.0,33500.0,4232.0,13562.0,31.204837045,65.130096292,8.2069463594,10925.0,13218.0,82.652443637,2.0
