FIPS,State,County,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Poor or fair health - Sample Size,Poor or fair health - % Fair/Poor,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor mental health days - Sample Size,Poor mental health days - Mentally Unhealthy Days,Low birthweight - Unreliable,Low birthweight - LBW Births,Low birthweight - Live Births,Low birthweight - % LBW,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult obesity - % Obese,Food environment index - Food Environment Index,Physical inactivity - % Physically Inactive,Access to exercise opportunities - AZ correction^ - % With Access,Access to exercise opportunities - % With Access,Excessive drinking - Sample Size,Excessive drinking - % Excessive Drinking,Alcohol-impaired driving deaths - # Alcohol-Impaired Driving Deaths,Alcohol-impaired driving deaths - # Driving Deaths,Alcohol-impaired driving deaths - % Alcohol-Impaired,Sexually transmitted infections - Chlamydia Cases,Sexually transmitted infections - Chlamydia Rate,Teen births - Teen Births ,Teen births - Teen Population,Teen births - Teen Birth Rate,Uninsured - # Uninsured,Uninsured - % Uninsured,Primary care physicians - # PCP,Primary care physicians - PCP Rate,Primary care physicians - PCP Ratio,Dentists^ - # Dentists,Dentists^ - Dentist Rate,Dentists^ - Dentist Ratio,Previous Dentists data -- used to calculate rankings^ - # Dentists,Previous Dentists data -- used to calculate rankings^ - Dentist Rate,Previous Dentists data -- used to calculate rankings^ - Dentist Ratio,Mental health providers^ - # MHP,Mental health providers^ - MHP Rate,Mental health providers^ - MHP Ratio,Previous Mental health providers data -- used to calculate rankings^ - # MHP,Previous Mental health providers data -- used to calculate rankings^ - MHP Rate,Previous Mental health providers data -- used to calculate rankings^ - MHP Ratio,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - # Medicare enrollees,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - ACSC Rate,Diabetic screening - # Diabetics,Diabetic screening - % HbA1c,Mammography screening - # Medicare Enrollees,Mammography screening - % Mammography,High school graduation* - Cohort size,High school graduation* - Graduation Rate,Some college (post-secondary education) - # Some College,Some college (post-secondary education) - Population,Some college (post-secondary education) - % Some College,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % Unemployed,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Inadequate social support - Sample Size,Inadequate social support - % No Social-Emotional Support,Children in single-parent households - # Single-Parent Households,Children in single-parent households - # Households,Children in single-parent households - % Single-Parent Households,Violent crime - Annual Violent Crimes,Violent crime - Violent Crime Rate,Injury deaths - Injury Deaths,Injury deaths - Injury Death Rate,Air pollution - particulate matter - Average daily PM25,Drinking water violations - % pop in viol,Drinking water violations - Pop,Severe housing problems - # Households with Severe Problems,Severe housing problems - % Severe Housing Problems,Driving alone to work - # Drive Alone,Driving alone to work - Workers,Driving alone to work - % Drive Alone,Long commute - driving alone - Workers who Drive Alone,Long commute - driving alone - Long Commute - Drives Alone,Demographics - Population,Demographics - < 18,Demographics - 65 and over,Demographics - African American,Demographics - American Indian/ Alaskan Native,Demographics - Asian,Demographics - Native Hawaiian/ Other Pacific Islander,Demographics - Hispanic,Demographics - Non-Hispanic white,Demographics - # Not Proficient in English,Demographics - % Not Proficient in English,Demographics - Female,Demographics - Rural,Diabetes - % Diabetic,HIV prevalence rate - HIV Cases,HIV prevalence rate - HIV Rate,Premature age-adjusted mortality - Total deaths,Premature age-adjusted mortality - Age-adjusted Mortality,Infant mortality - Infant mortality rate,Child mortality - Total deaths,Child mortality - Child mortality rate,Food insecurity - % Food Insecure,Limited access to healthy foods - # Limited Access,Limited access to healthy foods - % Limited Access,Motor vehicle crash death rate - Motor Vehicle Deaths,Motor vehicle crash death rate - MV Mortality Rate,Drug poisoning deaths - Drug Poisoning Deaths,Drug poisoning deaths - Drug Poisoning Mortality Rate,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured children - # Uninsured,Uninsured children - % Uninsured,Health care costs - Costs,Could not see doctor due to cost - Sample Size,Could not see doctor due to cost - % Couldn't Access,Other primary care providers^ - Other PCP Rate,Other primary care providers^ - Other PCP Ratio,Previous Other primary care providers data^ - Other PCP Rate,Previous Other primary care providers data^ - Other PCP Ratio,Median household income - Household Income,Children eligible for free lunch - % Free Lunch,Homicide rate - Homicide Rate
01001,Alabama,Autauga,729.0,8376.42,407.0,22.8,396.0,5.1,403.0,3.6,,440.0,4708.0,9.3,409.0,21.7,30.5,7.4451888427,29.4,,59.298895018,394.0,16.7,13.0,51.0,25.490196078,247.0,446.9,565.0,14490.0,38.992408558,6682.0,13.931281795,21.0,37.99736,2632:1,15,27.020210000000002,3701:1,15.0,26.800549999999998,3731:1,,,,1.0,1.7867,55969:1,4698.0,75.145590661,645.0,86.82170543,425.0,66.58823529,764.0,80.0,7940.0,14507.0,54.732198249,1644.0,25480.0,6.4521193093,2648.0,18.5,293.0,23.7,4388.0,14566.0,30.12494851,162.33333333,302.90967445,185.0,69.6,12.92,0.0,0.0,2300.0,11.663286004,21393.0,24369.0,87.787763142,21393.0,41.9,55514.0,25.9556148,13.048960623,18.009820913,0.5090987868,0.9170999422,0.1010976314,2.4841132293,76.774624495,224.0,0.4386909775,51.137348354,42.002162321,11.8,81.0,181.1,729.0,439.5,9.0,35.0,59.215646466,13.6,5344.4274725,9.7935303961,87.0,23.916999764,27.0,7.422517168,6065.0,17.962919085,712.0,4.734987032,10219.21957,410.0,15.6,,,18.01347,5551:1,51441.0,36.116720517,3.5738045624
01003,Alabama,Baldwin,2325.0,7770.16,1664.0,12.7,1622.0,3.3,1628.0,3.8,,1359.0,15353.0,8.9,1657.0,20.6,26.6,7.9934606235,27.6,,58.022659315,1600.0,17.9,43.0,135.0,31.851851852,563.0,301.5,1800.0,38796.0,46.396535725,25214.0,16.580195038,140.0,74.97978,1334:1,84,44.02746,2271:1,84.0,43.50844,2298:1,,,,88.0,45.58027,2194:1,22090.0,54.272988632,2436.0,80.2134647,1841.0,67.08310701,2326.0,74.0,27677.0,44796.0,61.784534333,5666.0,83743.0,6.7659386456,8723.0,20.5,1244.0,19.3,11699.0,41962.0,27.879986655,387.33333333,213.30102612,669.0,76.2,13.13,4.2153622955,7845.0,9370.0,13.486865779,66189.0,79588.0,83.164547419,66189.0,35.2,190790.0,22.583468735,17.729964883,9.3759032275,0.7327516994,0.7637959642,0.0642295135,4.4960659423,83.442701922,3167.0,1.8411934329,51.131509929,42.279099114,11.8,288.0,188.1,2325.0,365.0,6.4,97.0,58.711731451,13.1,9952.144027,5.4602606243,239.0,19.975394326,176.0,14.709913813,23050.0,20.92430033,2455.0,5.5914909124,9624.229409,1658.0,14.4,,,26.73096,3741:1,48867.0,36.761938576,4.1789527879
01005,Alabama,Barbour,422.0,9458.14,423.0,23.4,414.0,4.8,416.0,4.3,,304.0,2470.0,12.3,425.0,25.1,37.3,5.403317403,35.0,,11.476126307,414.0,13.5,10.0,21.0,47.619047619,237.0,873.9,446.0,6045.0,73.779983457,3810.0,18.910065515,12.0,44.24942,2260:1,10,36.763349999999996,2720:1,10.0,32.68401,3060:1,,,,1.0,3.2684,30596:1,3006.0,101.23169769,453.0,87.63796909,282.0,64.53900709,332.0,60.640060241,3084.0,7448.0,41.407089151,1016.0,9088.0,11.179577465,2683.0,47.0,283.0,17.6,3350.0,5992.0,55.90787717,43.333333333,154.32648361,73.0,52.7,12.62,31.712359922,11503.5,1650.0,16.84532925,7431.0,8990.0,82.658509455,7431.0,31.5,27201.0,21.201426418,15.231057682,46.721341486,0.6333980156,0.4539962655,0.1830630103,4.946362538,46.827518032,562.0,2.1706384458,46.336909164,67.789634702,14.2,90.0,388.1,422.0,459.3,12.8,26.0,105.2588964,23.0,3135.6760862,11.420315716,51.0,26.17344268,,,3468.0,24.216186021,373.0,6.1027486911,10809.06015,425.0,16.9,,,11.02901,9067:1,30287.0,66.388961208,5.1320475843
01007,Alabama,Bibb,390.0,11543.9,379.0,17.9,367.0,4.7,370.0,5.1,,230.0,1808.0,12.7,379.0,25.9,34.3,7.7986030363,37.0,,18.250054549,366.0,11.2,8.0,29.0,27.586206897,106.0,465.6,252.0,5114.0,49.276495894,2827.0,15.978070423,5.0,21.96258,4553:1,4,17.70146,5649:1,4.0,16.11084,6207:1,,,,,,,1906.0,89.556434179,313.0,82.74760383,184.0,61.95652174,261.0,73.0,2712.0,6136.0,44.198174707,694.0,9083.0,7.6406473632,1297.0,27.2,264.0,29.1,2067.0,5262.0,39.281641961,57.0,254.23728814,111.0,98.1,12.87,0.0,0.0,710.0,9.5430107527,6888.0,8366.0,82.333253646,6888.0,49.7,22597.0,21.560384122,13.860246935,22.055589762,0.3474360102,0.1363356496,0.1319377254,2.0274430469,74.69434427,107.0,0.4986717621,46.03307239,68.352607462,11.1,21.0,106.7,390.0,541.8,11.2,22.0,103.89119758,15.8,491.44906624,2.1446609917,53.0,33.78787589,26.0,16.575184399,2560.0,20.007815553,294.0,5.6987788331,10809.06912,379.0,16.3,,,4.42537,22597:1,37392.0,53.502277904,7.6500851072
01009,Alabama,Blount,826.0,8505.64,367.0,24.2,360.0,5.9,358.0,3.9,,379.0,4925.0,7.7,368.0,21.3,30.4,8.6480641226,35.0,,15.180907854,362.0,5.5,14.0,60.0,23.333333333,101.0,175.1,615.0,12929.0,47.567483951,8807.0,18.064899902,11.0,19.07173,5243:1,11,19.02258,5257:1,11.0,18.86307,5301:1,,,,2.0,3.42965,29158:1,3949.0,90.9679868,570.0,83.50877193,341.0,62.75659824,713.0,81.03085554,6816.0,14729.0,46.276054043,1639.0,26358.0,6.2182259656,3179.0,23.1,278.0,14.3,3541.0,13976.0,25.336290784,95.0,164.46371844,253.0,89.3,12.66,3.3649371342,2133.0,2595.0,12.594030575,18606.0,23117.0,80.486222261,18606.0,60.3,57826.0,24.044547435,15.937467575,1.397450994,0.6095449193,0.2285793447,0.1073630256,8.3864376255,88.508692942,1498.0,2.7820079486,50.561058392,89.951502041,14.0,44.0,92.8,826.0,426.2,6.6,36.0,63.883023087,12.1,609.02770839,1.0624676536,111.0,28.302536264,51.0,13.003868013,7902.0,22.684082101,1010.0,6.9159134484,10509.50855,369.0,17.3,,,5.18798,19275:1,44225.0,43.931360262,4.0796448669
01011,Alabama,Bullock,192.0,9883.66,104.0,23.0,101.0,4.2,,,,169.0,1233.0,13.7,103.0,37.8,42.1,3.7021473087,32.5,,28.82536192,,,8.0,20.0,40.0,148.0,1403.9,226.0,2655.0,85.122410546,1200.0,15.741833924,3.0,28.4576,3514:1,2,19.0949,5237:1,2.0,16.43926,6083:1,,,,1.0,8.21963,12166:1,1075.0,90.633109387,204.0,81.37254902,101.0,48.51485149,112.0,72.5,1148.0,3193.0,35.953648606,473.0,3533.0,13.388055477,949.0,43.2,,,1559.0,2383.0,65.421737306,36.333333333,333.95630994,56.0,102.5,12.75,15.497640498,2167.5,525.0,14.075067024,3373.0,4009.0,84.135694687,3373.0,44.6,10474.0,21.243078098,14.636242123,68.836682706,0.8680064157,0.1886970469,0.8113973016,7.7837531843,22.370034909,321.0,3.1757024139,45.759033871,51.374381528,17.5,38.0,409.1,192.0,514.8,,,,27.0,2199.3598279,20.151730144,45.0,58.664024613,,,1111.0,20.762474304,95.0,4.0220152413,8940.600361,104.0,16.7,,,66.83216,1496:1,25854.0,90.120329322,
01013,Alabama,Butler,389.0,11005.65,372.0,19.9,358.0,3.9,358.0,3.5,,200.0,1932.0,10.4,373.0,30.5,38.3,6.352247144,36.9,,47.324199169,356.0,10.9,4.0,26.0,15.384615385,132.0,639.2,294.0,4783.0,61.467698097,2803.0,16.378403646,7.0,33.898309999999995,2950:1,6,29.54646,3385:1,6.0,29.06977,3440:1,,,,4.0,19.379839999999998,5160:1,2900.0,128.30041925,451.0,77.60532151,236.0,58.05084746,309.0,72.0,2230.0,4830.0,46.169772257,966.0,8903.0,10.850275188,1959.0,42.1,270.0,27.6,2454.0,4969.0,49.386194405,93.666666667,452.91899036,74.0,70.8,12.82,25.133218253,6697.5,1325.0,16.521197007,6763.0,7624.0,88.706715635,6763.0,32.1,20307.0,23.129955188,17.442261289,43.232352656,0.3204194582,0.8932906107,0.0388387222,1.0971939023,53.835323818,34.0,0.1749151147,53.058549374,71.23215735,16.0,38.0,219.8,389.0,553.0,10.8,13.0,63.985824679,22.7,593.22513862,2.8320291145,42.0,28.73327313,11.0,7.5253810579,2589.0,21.043647891,233.0,4.6395858224,11331.14966,369.0,18.5,,,34.470870000000005,2901:1,30605.0,67.874109264,9.5777577101
01015,Alabama,Calhoun,2042.0,11097.28,1458.0,22.7,1418.0,5.2,1426.0,5.1,,931.0,10328.0,9.0,1456.0,24.4,33.2,6.6419930381,33.3,,40.512937287,1404.0,11.6,17.0,85.0,20.0,781.0,663.0,1464.0,28869.0,50.711836226,16663.0,16.94823886,79.0,67.06453,1491:1,55,46.889920000000004,2133:1,55.0,45.774210000000004,2185:1,,,,76.0,63.25163,1581:1,15783.0,91.528230046,2205.0,79.72789116,1323.0,55.17762661,1455.0,78.72233677,14926.0,29384.0,50.796351756,3966.0,52372.0,7.5727487971,8212.0,31.4,1063.0,22.4,10305.0,26587.0,38.759544138,649.0,553.32935459,459.0,78.4,12.89,0.0,0.0,6710.0,14.454976303,38810.0,45958.0,84.446668698,38810.0,26.5,117296.0,22.690458328,15.159937253,20.501633918,0.5016339176,0.7732461911,0.0984594491,3.415524339,73.454144209,1174.0,1.0611182415,51.857573314,33.696825557,13.9,184.0,185.4,2042.0,532.3,8.0,88.0,81.336130803,17.5,11909.162858,10.043823886,185.0,22.734338806,91.0,11.182836926,15346.0,21.338487423,1465.0,5.2821344871,11246.06057,1460.0,18.4,,,31.544130000000003,3170:1,39212.0,50.982392098,11.305725244
01017,Alabama,Chambers,643.0,10367.83,385.0,38.5,359.0,5.0,371.0,4.3,,328.0,2813.0,11.7,385.0,24.1,35.4,6.0709749485,38.7,,34.350431097,,,12.0,48.0,25.0,260.0,766.1,497.0,7933.0,62.649691163,5039.0,17.926642712,13.0,38.30402,2611:1,8,23.4852,4258:1,8.0,23.173630000000003,4315:1,,,,,,,4635.0,88.79332489,781.0,83.86683739,433.0,65.81986143,320.0,79.9875,3853.0,8184.0,47.079667644,1360.0,14659.0,9.2775769152,2557.0,34.7,271.0,32.6,4011.0,7766.0,51.648210147,168.33333333,575.69539444,134.0,77.5,12.97,0.0,0.0,2345.0,17.141812865,10716.0,12700.0,84.377952756,10716.0,33.2,34064.0,21.952794739,17.575739784,38.47375386,0.2058520806,0.5646228496,0.0529333921,1.6732833407,58.173797971,147.0,0.4568764569,52.283487722,49.148034488,15.0,92.0,318.2,643.0,531.1,6.7,20.0,62.831830605,21.0,3018.2847466,8.821524906,66.0,27.082922986,23.0,9.4379883133,4709.0,22.800561662,374.0,4.7341772152,9436.36449,387.0,22.5,,,5.8713,17032:1,32320.0,65.130096292,8.2069463594
01019,Alabama,Cherokee,470.0,9408.68,208.0,24.2,199.0,6.1,201.0,5.2,,149.0,1678.0,8.9,208.0,24.4,31.4,8.1663439164,34.2,,14.91784986,199.0,14.9,10.0,33.0,30.303030303,70.0,268.6,268.0,5131.0,52.231533814,3633.0,17.153784409,7.0,26.86418,3722:1,4,15.3722,6505:1,4.0,15.20277,6578:1,,,,4.0,15.20277,6578:1,3039.0,100.16150083,499.0,88.37675351,312.0,59.61538462,334.0,72.0,3132.0,5858.0,53.465346535,814.0,11455.0,7.1060672196,1607.0,29.9,157.0,23.0,1371.0,5308.0,25.828937453,86.0,335.8806452,104.0,80.9,12.93,0.0,0.0,1155.0,10.176211454,8075.0,10025.0,80.548628429,8075.0,41.5,26021.0,20.798585758,19.326697667,4.6677397103,0.5211926113,0.2222733195,0.0268260903,1.3566337089,91.963669809,38.0,0.1551463684,50.436882042,85.736273039,13.6,26.0,119.8,470.0,466.5,,16.0,72.66781724,15.0,34.483862348,0.1326863763,46.0,25.782441037,23.0,12.891220518,3368.0,21.403152008,295.0,5.1393728223,10670.55995,208.0,17.1,,,19.21525,5204:1,37868.0,50.820877236,
