FIPS,Median household income - Household Income_2012,Median household income - Household Income_2013,Median household income - Household Income_2014
01001,53049.0,48863.0,51441.0
01003,47618.0,50144.0,48867.0
01005,33074.0,30117.0,30287.0
01007,35472.0,37347.0,37392.0
01009,42906.0,41940.0,44225.0
01011,25969.0,26038.0,25854.0
01013,29500.0,30489.0,30605.0
01015,37916.0,39060.0,39212.0
01017,30061.0,33500.0,32320.0
01019,34410.0,34738.0,37868.0
01021,38553.0,38833.0,39621.0
01023,32003.0,32940.0,33390.0
01025,33739.0,32642.0,34606.0
01027,33035.0,32454.0,34579.0
01029,37566.0,39153.0,38235.0
01031,40779.0,42173.0,45631.0
01033,37455.0,37269.0,39771.0
01035,27855.0,26914.0,27110.0
01037,33721.0,34391.0,32960.0
01039,33484.0,32138.0,34017.0
01041,35577.0,34534.0,33648.0
01043,37948.0,39395.0,37938.0
01045,41287.0,41568.0,40125.0
01047,26195.0,25859.0,27400.0
01049,34822.0,35487.0,37644.0
01051,51013.0,54866.0,52324.0
01053,31365.0,32838.0,33588.0
01055,36088.0,34927.0,35737.0
01057,32643.0,32648.0,35720.0
01059,33649.0,33705.0,33173.0
01061,34418.0,33835.0,33347.0
01063,27117.0,24738.0,24592.0
01065,31790.0,31044.0,31025.0
01067,37851.0,39788.0,37108.0
01069,39290.0,40428.0,40609.0
01071,36158.0,36746.0,39618.0
01073,41740.0,42053.0,43967.0
01075,32993.0,34731.0,33940.0
01077,39213.0,40195.0,41536.0
01079,37365.0,38132.0,38524.0
01081,40102.0,42539.0,43182.0
01083,49667.0,46760.0,49616.0
01085,28754.0,28043.0,28544.0
01087,27041.0,27591.0,27709.0
01089,54633.0,55298.0,57072.0
01091,33085.0,31995.0,31888.0
01093,32080.0,30926.0,32237.0
01095,38859.0,38876.0,36960.0
01097,39753.0,41867.0,39546.0
01099,31744.0,31072.0,36221.0
01101,41556.0,42962.0,41430.0
01103,44859.0,43615.0,44766.0
01105,24742.0,22175.0,25215.0
01107,31032.0,31079.0,31433.0
01109,32771.0,32345.0,32411.0
01111,32584.0,34517.0,35024.0
01113,32733.0,32632.0,34310.0
01115,48296.0,48040.0,50989.0
01117,67135.0,66362.0,67244.0
01119,25586.0,23531.0,24059.0
01121,35646.0,33856.0,34785.0
01123,34440.0,37686.0,36463.0
01125,43098.0,42086.0,41495.0
01127,36044.0,35423.0,36600.0
01129,37639.0,39203.0,39173.0
01131,21611.0,20990.0,22126.0
01133,32574.0,31018.0,32663.0
02013,47077.0,51289.0,51514.0
02016,58517.0,59362.0,69192.0
02020,70524.0,71237.0,71094.0
02050,45481.0,43314.0,41722.0
02060,62912.0,61905.0,66178.0
02068,61004.0,68899.0,66325.0
02070,46845.0,46427.0,47498.0
02090,60472.0,64396.0,63979.0
02100,46111.0,51350.0,49890.0
02110,69844.0,74219.0,76967.0
02122,57347.0,60360.0,60431.0
02130,58073.0,59092.0,61296.0
02150,59847.0,66935.0,61498.0
02164,39794.0,47612.0,44657.0
02170,68670.0,68999.0,68109.0
02180,43147.0,44766.0,47022.0
02185,68744.0,73744.0,69138.0
02188,49466.0,54680.0,52945.0
02201,40756.0,42649.0,44721.0
02220,58000.0,61956.0,61771.0
02232,44289.955366,45857.657315,48137.409326
02240,54508.0,55617.0,56456.0
02261,60297.0,63887.0,65098.0
02270,30883.0,33206.0,32860.0
02280,46212.586824,50243.539813999996,53744.797663
02282,49331.0,47575.0,47565.0
02290,35177.0,33578.0,33998.0
04001,30651.0,30837.0,32886.0
04003,43677.0,41237.0,43017.0
04005,43051.0,45051.0,45509.0
04007,37430.0,35898.0,38267.0
04009,39299.0,40548.0,41080.0
04011,49592.0,51145.0,53312.0
04012,33818.0,30679.0,35236.0
04013,50424.0,50785.0,51442.0
04015,36446.0,35998.0,34966.0
04017,37723.0,32425.0,34662.0
04019,44293.0,44102.0,44745.0
04021,49833.0,45170.0,50362.0
04023,33952.0,35500.0,36660.0
04025,40562.0,41437.0,43397.0
04027,40609.0,37894.0,39072.0
05001,38129.0,37922.0,37907.0
05003,37042.0,37170.0,39276.0
05005,34421.0,33312.0,35315.0
05007,52417.0,52644.0,52717.0
05009,35532.0,38411.0,35848.0
05011,31047.0,31118.0,31940.0
05013,36955.0,35464.0,36216.0
05015,33789.0,33579.0,34096.0
05017,27321.0,27966.0,26911.0
05019,33433.0,34478.0,34482.0
05021,31976.0,32564.0,32642.0
05023,35472.0,42265.0,41337.0
05025,40402.0,41864.0,41338.0
05027,34538.0,33533.0,35024.0
05029,37475.0,37830.0,35832.0
05031,37780.0,39410.0,42437.0
05033,39672.0,37552.0,39367.0
05035,33938.0,34905.0,36588.0
05037,35080.0,35268.0,35839.0
05039,31350.0,30728.0,30984.0
05041,29586.0,30186.0,30298.0
05043,34952.0,35627.0,33682.0
05045,46199.0,49314.0,49843.0
05047,38514.0,38245.0,39763.0
05049,30191.0,33696.0,31988.0
05051,36690.0,35651.0,39617.0
05053,45347.0,46538.0,47421.0
05055,36391.0,37893.0,38771.0
05057,31786.0,30922.0,32292.0
05059,37243.0,38082.0,41754.0
05061,32543.0,33079.0,33049.0
05063,35888.0,34690.0,37818.0
05065,29883.0,31245.0,29663.0
05067,30405.0,32750.0,30604.0
05069,35092.0,37704.0,36346.0
05071,32326.0,34182.0,34322.0
05073,29084.0,30057.0,28857.0
05075,32869.0,32678.0,29229.0
05077,25944.0,27894.0,26046.0
05079,35070.0,35854.0,36222.0
05081,37260.0,38937.0,35406.0
05083,36015.0,34000.0,33850.0
05085,50021.0,49579.0,51212.0
05087,34547.0,34292.0,33428.0
05089,31438.0,32685.0,31516.0
05091,37806.0,37728.0,38225.0
05093,32169.0,33426.0,34058.0
05095,28637.0,27758.0,29032.0
05097,32032.0,31603.0,32779.0
05099,32896.0,31590.0,32107.0
05101,30965.0,31224.0,29316.0
05103,35971.0,35095.0,32749.0
05105,39054.0,38858.0,40119.0
05107,26933.0,26892.0,26013.0
05109,31569.0,30054.0,33144.0
05111,32130.0,30761.0,32248.0
05113,29938.0,31030.0,31749.0
05115,39040.0,38095.0,40206.0
05117,36898.0,36088.0,36191.0
05119,44733.0,43898.0,44819.0
05121,33401.0,33210.0,33870.0
05123,29825.0,28467.0,32932.0
05125,53430.0,54372.0,57787.0
05127,29633.0,31163.0,30630.0
05129,27896.0,26990.0,26330.0
05131,38724.0,38404.0,38730.0
05133,35279.0,30899.0,32662.0
05135,28933.0,28760.0,30076.0
05137,29182.0,29182.0,28442.0
05139,36934.0,37193.0,40026.0
05141,32142.0,34513.0,35876.0
