FIPS,State,County,Premature death (Years of Potential Life Lost) - Unreliable,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - Aggregate Population,Premature death (Years of Potential Life Lost) - YPLL Rate,Poor or fair health - Sample Size,Poor or fair health - % Fair/Poor,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor mental health days - Sample Size,Poor mental health days - Mentally Unhealthy Days,Low birthweight - Unreliable,Low birthweight - Sample Size,Low birthweight - % LBW,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult obesity - % Obese,Binge drinking - Sample Size,Binge drinking - % Binge Drinking,Motor vehicle crash death rate - Unreliable,Motor vehicle crash death rate - MV mortality rate,Chlamydia rate - Cases,Chlamydia rate - Population,"Chlamydia rate - Rates per 100,000",Teen birth rate - Teen Births ,Teen birth rate - Teen Birth Rate,Uninsured adults - % Uninsured,Primary care provider rate* - PCP No,Primary care provider rate* - PCP Rate,Previous Primary care provider rate data--used to calculate rankings* - Unreliable,Previous Primary care provider rate data--used to calculate rankings* - Population,Previous Primary care provider rate data--used to calculate rankings* - PCP No,Previous Primary care provider rate data--used to calculate rankings* - PCP Rate,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - No of Medicare enrollees,Preventable hospital stays (Ambulatory Care Sensitive Conditions) - ACSC Rate,Diabetic screening - No of Diabetics,Diabetic screening - % HbA1c,Hospice use - % Hospice Use,High school graduation - Enrollment,High school graduation - Diplomas,High school graduation - AFGR,College degrees - % College,Unemployment - % unemployed,Children in poverty - % Children in Poverty,Income inequality - GINI,Inadequate social support - Sample Size,Inadequate social support - % No Social-Emotional Support,Single-parent households - % Single-Parent Households,Violent crime rate - Aggregate Population,Violent crime rate - Violent Crimes,Violent crime rate - Violent Crime Rate,Homicide rate - Unreliable,Homicide rate - Homicide Rate,Air pollution-particulate matter days - PM Days,Air pollution-ozone days - Ozone Days,Access to healthy foods - Unreliable,Access to healthy foods - Zip Codes with Healthy Food,Access to healthy foods - # Zip Codes,Access to healthy foods - % Healthy Food,Liquor store density - Population,Liquor store density - Liquor Stores,Liquor store density - Liquor Store Rate
01001,Alabama,Autauga,,670.0,137881.0,9778.1,284.0,25.86,255.0,5.48,258.0,4.14,,4406.0,8.83,286.0,28.14,30.0,283.0,13.59,,28.8,184.0,49730.0,370.0,599.0,52.6,14.0,25,52.224775433,,49730.0,37.0,74.40176955560024,9407.0,91.8033834926422,524.0,81.49,35.116717050694,632.0,452.0,71.51898734177216,20.643627140139504,4.6,13.8,40.7,178.0,27.61,8.662106703146375,146986.0,377.0,256.4870123685249,,,4.0,0.0,,2.0,8.0,25.0,49109.0,2.0,0.4072573255411432
01003,Alabama,Baldwin,,2148.0,449589.0,8221.7,1088.0,13.38,960.0,3.57,964.0,4.06,,13485.0,8.77,1086.0,23.09,24.5,1074.0,17.85,,23.6,416.0,169162.0,245.9,1667.0,48.6,20.9,115,70.741369553,,169162.0,175.0,103.45112968633617,43980.0,65.3912988742404,1761.0,79.16,43.3497509882666,1945.0,1304.0,67.04370179948586,26.321226287084944,4.1,15.3,44.5,694.0,18.53,8.600627783049857,502263.0,862.0,171.62323324632712,,,4.0,3.0,,11.0,26.0,42.307692307692314,168233.0,13.0,0.7727378100610462
01005,Alabama,Barbour,,424.0,79450.0,10686.1,210.0,24.42,187.0,6.11,186.0,3.84,,2618.0,11.0,211.0,22.68,36.4,209.0,9.84,,30.4,165.0,28171.0,585.7,502.0,75.2,15.1,12,40.74426185,,28171.0,14.0,49.69649639700401,6546.0,92.2971976315105,374.0,79.68,63.8757875160091,339.0,191.0,56.342182890855455,11.186903137789905,7.8,34.1,47.4,140.0,10.69,14.355161567057477,84368.0,54.0,64.00531007016879,,,7.0,0.0,,2.0,5.0,40.0,28125.0,3.0,1.0666666666666667
01007,Alabama,Bibb,,373.0,60430.0,13069.5,203.0,18.17,182.0,4.22,180.0,5.31,,1887.0,9.11,202.0,,31.7,199.0,9.54,,41.3,61.0,21482.0,284.0,295.0,67.5,17.7,9,42.105263158,,21482.0,13.0,60.51578065357043,4033.0,96.7942555167929,212.0,74.53,22.1292797404204,313.0,189.0,60.383386581469644,11.000844594594595,5.2,24.2,39.8,151.0,,5.125777657560184,64273.0,82.0,127.58078820033296,,,4.0,0.0,,4.0,8.0,50.0,21341.0,1.0,0.4685816034862471
01009,Alabama,Blount,,787.0,155580.0,8929.7,295.0,24.93,247.0,5.62,249.0,4.47,,4750.0,7.26,295.0,23.42,31.5,292.0,6.14,,28.6,48.0,56436.0,85.1,654.0,57.0,20.8,11,19.987280821,,56436.0,20.0,35.438372669927,8110.0,102.021063414552,350.0,76.86,36.2454336770602,667.0,487.0,73.01349325337331,11.618124700495182,4.1,18.5,41.1,176.0,10.16,7.120595848079869,167408.0,157.0,93.78285386600402,,,9.0,1.0,,4.0,7.0,57.142857142857146,55811.0,,0.0
01011,Alabama,Bullock,,213.0,30605.0,15080.6,84.0,,76.0,4.99,75.0,2.84,,1152.0,13.28,85.0,,37.3,82.0,4.54,,54.8,79.0,10906.0,724.4,224.0,84.7,17.0,8,72.892938497,,10906.0,9.0,82.52338162479369,1837.0,117.321240505377,90.0,78.89,25.4468229636862,137.0,87.0,63.503649635036496,8.82618285928861,9.6,38.7,47.2,58.0,,17.50390479800105,,,,,,13.0,0.0,,1.0,4.0,25.0,10742.0,1.0,0.930925339787749
01013,Alabama,Butler,,397.0,55895.0,13492.3,183.0,21.96,157.0,3.88,159.0,3.1,,1951.0,10.66,183.0,27.51,35.5,179.0,9.33,,37.3,130.0,20520.0,633.5,362.0,65.9,14.5,9,44.252138853,,20520.0,11.0,53.606237816764136,6433.0,177.415552437394,324.0,70.37,29.8715740437337,283.0,194.0,68.55123674911661,12.293729372937294,7.7,34.2,43.9,118.0,,9.821200510855684,60724.0,132.0,217.3769843883802,,,5.0,0.0,,2.0,5.0,40.0,20213.0,1.0,0.4947311136397368
01015,Alabama,Calhoun,,2035.0,313874.0,11526.2,895.0,24.56,793.0,5.16,798.0,4.84,,10482.0,9.35,899.0,26.78,33.2,888.0,12.13,,28.0,604.0,112903.0,535.0,1599.0,60.1,13.3,96,85.652340718,,112903.0,124.0,109.8287910861536,31000.0,102.425260736773,1508.0,77.59,25.4999488345614,1328.0,863.0,64.98493975903614,16.99428617307409,5.1,24.7,45.5,581.0,21.72,10.328929112681168,337861.0,1808.0,535.1313113972906,,,8.0,0.0,,9.0,18.0,50.0,112704.0,7.0,0.6210959681998864
01017,Alabama,Chambers,,610.0,97016.0,10379.7,223.0,,187.0,4.24,195.0,4.89,,3029.0,10.04,222.0,17.48,35.7,219.0,9.58,,27.6,223.0,35176.0,634.0,566.0,71.3,13.4,20,56.861797401,,35176.0,25.0,71.07118489879463,11440.0,86.403596272939,597.0,78.06,41.6270635449019,421.0,268.0,63.657957244655584,10.190206056561275,13.2,24.6,40.2,139.0,,9.484278577725537,104748.0,217.0,207.16385993049985,,,7.0,0.0,,3.0,4.0,75.0,34821.0,3.0,0.8615490652192642
01019,Alabama,Cherokee,,440.0,67722.0,11164.4,170.0,31.51,146.0,5.55,150.0,4.28,,1893.0,8.72,170.0,27.31,30.7,165.0,14.95,,26.0,38.0,24863.0,152.8,327.0,72.1,18.3,7,28.84456898,,24863.0,11.0,44.24244861842899,6404.0,117.195690509633,350.0,83.14,23.8764081292025,332.0,225.0,67.7710843373494,8.48453725892959,5.2,29.1,44.4,109.0,,8.866308029487946,73353.0,23.0,31.355227461726173,,,9.0,0.0,,2.0,5.0,40.0,24526.0,1.0,0.40773057163826143
