FIPS,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016
01001,11993.00,4942.00,17208.00,69.69,28.72,40.97,15196.00,4758.00,20081.00,75.67,23.69,51.98,17403.00,6093.00,23641.00,73.61,25.77,47.84,17379.00,6363.00,23932.00,72.62,26.59,46.03,18172.00,5936.00,24973.00,72.77,23.77,49.00
01003,40872.00,13997.00,56480.00,72.37,24.78,47.59,52971.00,15599.00,69320.00,76.42,22.50,53.92,61271.00,19386.00,81413.00,75.26,23.81,51.45,66016.00,18424.00,85338.00,77.36,21.59,55.77,72883.00,18458.00,95215.00,76.55,19.39,57.16
01005,5096.00,5188.00,10395.00,49.02,49.91,-0.89,5899.00,4832.00,10777.00,54.74,44.84,9.90,5866.00,5697.00,11630.00,50.44,48.99,1.45,5550.00,5912.00,11509.00,48.22,51.37,-3.15,5454.00,4871.00,10469.00,52.10,46.53,5.57
01007,4273.00,2710.00,7101.00,60.17,38.16,22.01,5472.00,2089.00,7600.00,72.00,27.49,44.51,6262.00,2299.00,8644.00,72.44,26.60,45.84,6132.00,2202.00,8420.00,72.83,26.15,46.68,6738.00,1874.00,8819.00,76.40,21.25,55.15
01009,12667.00,4977.00,17973.00,70.48,27.69,42.79,17386.00,3938.00,21504.00,80.85,18.31,62.54,20389.00,3522.00,24267.00,84.02,14.51,69.51,20757.00,2970.00,24006.00,86.47,12.37,74.10,22859.00,2156.00,25588.00,89.33,8.43,80.90
01011,1433.00,3395.00,4904.00,29.22,69.23,-40.01,1494.00,3210.00,4717.00,31.67,68.05,-36.38,1391.00,4011.00,5415.00,25.69,74.07,-48.38,1251.00,4061.00,5322.00,23.51,76.31,-52.80,1140.00,3530.00,4710.00,24.20,74.95,-50.75
01013,4127.00,3606.00,7803.00,52.89,46.21,6.68,4979.00,3413.00,8416.00,59.16,40.55,18.61,5485.00,4188.00,9709.00,56.49,43.14,13.35,5087.00,4374.00,9496.00,53.57,46.06,7.51,4901.00,3726.00,8732.00,56.13,42.67,13.46
01015,22306.00,15781.00,38909.00,57.33,40.56,16.77,29814.00,15083.00,45249.00,65.89,33.33,32.56,32348.00,16334.00,49242.00,65.69,33.17,32.52,30278.00,15511.00,46257.00,65.46,33.53,31.93,32865.00,13242.00,47864.00,68.66,27.67,40.99
01017,6037.00,5616.00,11834.00,51.01,47.46,3.55,7622.00,5347.00,13032.00,58.49,41.03,17.46,8067.00,6799.00,14956.00,53.94,45.46,8.48,7626.00,6871.00,14611.00,52.19,47.03,5.16,7843.00,5784.00,13900.00,56.42,41.61,14.81
01019,4154.00,3497.00,7823.00,53.10,44.70,8.40,5923.00,3040.00,9049.00,65.45,33.59,31.86,7298.00,2306.00,9745.00,74.89,23.66,51.23,7506.00,2132.00,9779.00,76.76,21.80,54.96,8953.00,1547.00,10733.00,83.42,14.41,69.01
01021,10066.00,4806.00,15092.00,66.70,31.84,34.86,12829.00,3778.00,16693.00,76.85,22.63,54.22,13960.00,3674.00,17785.00,78.49,20.66,57.83,13932.00,3397.00,17462.00,79.78,19.45,60.33,15081.00,2911.00,18369.00,82.10,15.85,66.25
01023,3600.00,3707.00,7374.00,48.82,50.27,-1.45,3897.00,3303.00,7227.00,53.92,45.70,8.22,4223.00,3636.00,7894.00,53.50,46.06,7.44,4152.00,3786.00,7968.00,52.11,47.52,4.59,4106.00,3109.00,7292.00,56.31,42.64,13.67
01025,5988.00,4679.00,10752.00,55.69,43.52,12.17,6730.00,4627.00,11394.00,59.07,40.61,18.46,7466.00,5914.00,13435.00,55.57,44.02,11.55,7470.00,6334.00,13851.00,53.93,45.73,8.20,7140.00,5749.00,13031.00,54.79,44.12,10.67
01027,3719.00,2045.00,5883.00,63.22,34.76,28.46,4624.00,1893.00,6576.00,70.32,28.79,41.53,4984.00,1760.00,6819.00,73.09,25.81,47.28,4817.00,1777.00,6662.00,72.31,26.67,45.64,5245.00,1237.00,6624.00,79.18,18.67,60.51
01029,3333.00,1664.00,5092.00,65.46,32.68,32.78,4370.00,1391.00,5798.00,75.37,23.99,51.38,5216.00,1168.00,6492.00,80.35,17.99,62.36,5272.00,971.00,6305.00,83.62,15.40,68.22,5764.00,684.00,6593.00,87.43,10.37,77.06
01031,9938.00,5220.00,15434.00,64.39,33.82,30.57,13019.00,4480.00,17616.00,73.90,25.43,48.47,14919.00,5079.00,20128.00,74.12,25.23,48.89,14666.00,4925.00,19770.00,74.18,24.91,49.27,15875.00,4221.00,20767.00,76.44,20.33,56.11
01033,10518.00,10543.00,21532.00,48.85,48.96,-0.11,13188.00,10598.00,23935.00,55.10,44.28,10.82,14739.00,9703.00,24843.00,59.33,39.06,20.27,13936.00,9166.00,23385.00,59.59,39.20,20.39,16746.00,7312.00,24915.00,67.21,29.35,37.86
01035,2699.00,2783.00,5551.00,48.62,50.14,-1.52,3271.00,2719.00,6021.00,54.33,45.16,9.17,3470.00,3429.00,6943.00,49.98,49.39,0.59,3439.00,3555.00,7022.00,48.97,50.63,-1.66,3420.00,3080.00,6585.00,51.94,46.77,5.17
01037,2382.00,2104.00,4567.00,52.16,46.07,6.09,2905.00,2055.00,5001.00,58.09,41.09,17.00,3248.00,2273.00,5563.00,58.39,40.86,17.53,3049.00,2191.00,5269.00,57.87,41.58,16.29,3381.00,1782.00,5252.00,64.38,33.93,30.45
01039,8961.00,4440.00,13613.00,65.83,32.62,33.21,11119.00,3423.00,14627.00,76.02,23.40,52.62,12444.00,3240.00,15787.00,78.82,20.52,58.30,12153.00,3158.00,15423.00,78.80,20.48,58.32,13267.00,2387.00,15940.00,83.23,14.97,68.26
01041,2793.00,1934.00,4795.00,58.25,40.33,17.92,3777.00,1698.00,5500.00,68.67,30.87,37.80,4319.00,1938.00,6291.00,68.65,30.81,37.84,4331.00,2050.00,6418.00,67.48,31.94,35.54,4513.00,1664.00,6267.00,72.01,26.55,45.46
