,FIPS,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016,gop_2020_votes,dem_2020_votes,totalvotes_2020,gop_2020_prc,dem_2020_prc,gop_minus_dem_prc_2020,gop_2024_votes,dem_2024_votes,totalvotes_2024,gop_2024_prc,dem_2024_prc,gop_minus_dem_prc_2024
0,01,11993.0,4942.0,17208.0,69.69,28.72,40.97,15196.0,4758.0,20081.0,75.67,23.69,51.98,17403.0,6093.0,23641.0,73.61,25.77,47.84,17379.0,6363.0,23932.0,72.62,26.59,46.03,18172.0,5936.0,24973.0,72.77,23.77,49.0,19838.0,7503.0,27770.0,71.44,27.02,44.42,20484.0,7439.0,28281.0,72.43,26.3,46.13
1,01,40872.0,13997.0,56480.0,72.37,24.78,47.59,52971.0,15599.0,69320.0,76.42,22.5,53.92,61271.0,19386.0,81413.0,75.26,23.81,51.45,66016.0,18424.0,85338.0,77.36,21.59,55.77,72883.0,18458.0,95215.0,76.55,19.39,57.16,83544.0,24578.0,109679.0,76.17,22.41,53.76,95798.0,24934.0,122249.0,78.36,20.4,57.96
2,01,5096.0,5188.0,10395.0,49.02,49.91,-0.89,5899.0,4832.0,10777.0,54.74,44.84,9.9,5866.0,5697.0,11630.0,50.44,48.99,1.45,5550.0,5912.0,11509.0,48.22,51.37,-3.15,5454.0,4871.0,10469.0,52.1,46.53,5.57,5622.0,4816.0,10518.0,53.45,45.79,7.66,5606.0,4158.0,9855.0,56.88,42.19,14.69
3,01,4273.0,2710.0,7101.0,60.17,38.16,22.01,5472.0,2089.0,7600.0,72.0,27.49,44.51,6262.0,2299.0,8644.0,72.44,26.6,45.84,6132.0,2202.0,8420.0,72.83,26.15,46.68,6738.0,1874.0,8819.0,76.4,21.25,55.15,7525.0,1986.0,9595.0,78.43,20.7,57.73,7572.0,1619.0,9257.0,81.8,17.49,64.31
4,01,12667.0,4977.0,17973.0,70.48,27.69,42.79,17386.0,3938.0,21504.0,80.85,18.31,62.54,20389.0,3522.0,24267.0,84.02,14.51,69.51,20757.0,2970.0,24006.0,86.47,12.37,74.1,22859.0,2156.0,25588.0,89.33,8.43,80.9,24711.0,2640.0,27588.0,89.57,9.57,80.0,25354.0,2576.0,28163.0,90.03,9.15,80.88
5,01,1433.0,3395.0,4904.0,29.22,69.23,-40.01,1494.0,3210.0,4717.0,31.67,68.05,-36.38,1391.0,4011.0,5415.0,25.69,74.07,-48.38,1251.0,4061.0,5322.0,23.51,76.31,-52.8,1140.0,3530.0,4710.0,24.2,74.95,-50.75,1146.0,3446.0,4613.0,24.84,74.7,-49.86,1101.0,2983.0,4111.0,26.78,72.56,-45.78
6,01,4127.0,3606.0,7803.0,52.89,46.21,6.68,4979.0,3413.0,8416.0,59.16,40.55,18.61,5485.0,4188.0,9709.0,56.49,43.14,13.35,5087.0,4374.0,9496.0,53.57,46.06,7.51,4901.0,3726.0,8732.0,56.13,42.67,13.46,5458.0,3965.0,9488.0,57.53,41.79,15.74,5172.0,3251.0,8480.0,60.99,38.34,22.65
7,01,22306.0,15781.0,38909.0,57.33,40.56,16.77,29814.0,15083.0,45249.0,65.89,33.33,32.56,32348.0,16334.0,49242.0,65.69,33.17,32.52,30278.0,15511.0,46257.0,65.46,33.53,31.93,32865.0,13242.0,47864.0,68.66,27.67,40.99,35101.0,15216.0,50983.0,68.85,29.85,39.0,34912.0,13194.0,48653.0,71.76,27.12,44.64
8,01,6037.0,5616.0,11834.0,51.01,47.46,3.55,7622.0,5347.0,13032.0,58.49,41.03,17.46,8067.0,6799.0,14956.0,53.94,45.46,8.48,7626.0,6871.0,14611.0,52.19,47.03,5.16,7843.0,5784.0,13900.0,56.42,41.61,14.81,8753.0,6365.0,15284.0,57.27,41.64,15.63,8711.0,5405.0,14245.0,61.15,37.94,23.21
9,01,4154.0,3497.0,7823.0,53.1,44.7,8.4,5923.0,3040.0,9049.0,65.45,33.59,31.86,7298.0,2306.0,9745.0,74.89,23.66,51.23,7506.0,2132.0,9779.0,76.76,21.8,54.96,8953.0,1547.0,10733.0,83.42,14.41,69.01,10583.0,1624.0,12301.0,86.03,13.2,72.83,11358.0,1553.0,13006.0,87.33,11.94,75.39
10,01,10066.0,4806.0,15092.0,66.7,31.84,34.86,12829.0,3778.0,16693.0,76.85,22.63,54.22,13960.0,3674.0,17785.0,78.49,20.66,57.83,13932.0,3397.0,17462.0,79.78,19.45,60.33,15081.0,2911.0,18369.0,82.1,15.85,66.25,16085.0,3073.0,19310.0,83.3,15.91,67.39,16920.0,2698.0,19763.0,85.61,13.65,71.96
11,01,3600.0,3707.0,7374.0,48.82,50.27,-1.45,3897.0,3303.0,7227.0,53.92,45.7,8.22,4223.0,3636.0,7894.0,53.5,46.06,7.44,4152.0,3786.0,7968.0,52.11,47.52,4.59,4106.0,3109.0,7292.0,56.31,42.64,13.67,4296.0,3127.0,7464.0,57.56,41.89,15.67,4103.0,2515.0,6656.0,61.64,37.79,23.85
12,01,5988.0,4679.0,10752.0,55.69,43.52,12.17,6730.0,4627.0,11394.0,59.07,40.61,18.46,7466.0,5914.0,13435.0,55.57,44.02,11.55,7470.0,6334.0,13851.0,53.93,45.73,8.2,7140.0,5749.0,13031.0,54.79,44.12,10.67,7324.0,5755.0,13135.0,55.76,43.81,11.95,6965.0,4927.0,11958.0,58.25,41.2,17.05
13,01,3719.0,2045.0,5883.0,63.22,34.76,28.46,4624.0,1893.0,6576.0,70.32,28.79,41.53,4984.0,1760.0,6819.0,73.09,25.81,47.28,4817.0,1777.0,6662.0,72.31,26.67,45.64,5245.0,1237.0,6624.0,79.18,18.67,60.51,5601.0,1267.0,6930.0,80.82,18.28,62.54,5734.0,993.0,6767.0,84.73,14.67,70.06
14,01,3333.0,1664.0,5092.0,65.46,32.68,32.78,4370.0,1391.0,5798.0,75.37,23.99,51.38,5216.0,1168.0,6492.0,80.35,17.99,62.36,5272.0,971.0,6305.0,83.62,15.4,68.22,5764.0,684.0,6593.0,87.43,10.37,77.06,6484.0,675.0,7227.0,89.72,9.34,80.38,6988.0,605.0,7651.0,91.33,7.91,83.42
15,01,9938.0,5220.0,15434.0,64.39,33.82,30.57,13019.0,4480.0,17616.0,73.9,25.43,48.47,14919.0,5079.0,20128.0,74.12,25.23,48.89,14666.0,4925.0,19770.0,74.18,24.91,49.27,15875.0,4221.0,20767.0,76.44,20.33,56.11,16899.0,5076.0,22275.0,75.87,22.79,53.08,17495.0,4601.0,22319.0,78.39,20.61,57.78
16,01,10518.0,10543.0,21532.0,48.85,48.96,-0.11,13188.0,10598.0,23935.0,55.1,44.28,10.82,14739.0,9703.0,24843.0,59.33,39.06,20.27,13936.0,9166.0,23385.0,59.59,39.2,20.39,16746.0,7312.0,24915.0,67.21,29.35,37.86,19203.0,8343.0,27886.0,68.86,29.92,38.94,19714.0,7137.0,27160.0,72.58,26.28,46.3
17,01,2699.0,2783.0,5551.0,48.62,50.14,-1.52,3271.0,2719.0,6021.0,54.33,45.16,9.17,3470.0,3429.0,6943.0,49.98,49.39,0.59,3439.0,3555.0,7022.0,48.97,50.63,-1.66,3420.0,3080.0,6585.0,51.94,46.77,5.17,3442.0,2966.0,6441.0,53.44,46.05,7.39,3423.0,2580.0,6051.0,56.57,42.64,13.93
18,01,2382.0,2104.0,4567.0,52.16,46.07,6.09,2905.0,2055.0,5001.0,58.09,41.09,17.0,3248.0,2273.0,5563.0,58.39,40.86,17.53,3049.0,2191.0,5269.0,57.87,41.58,16.29,3381.0,1782.0,5252.0,64.38,33.93,30.45,3631.0,1796.0,5479.0,66.27,32.78,33.49,3758.0,1478.0,5268.0,71.34,28.06,43.28
