state,state_po,FIPS,gop_1976_votes,dem_1976_votes,totalvotes_1976,gop_1976_prc,dem_1976_prc,gop_minus_dem_prc_1976,gop_1980_votes,dem_1980_votes,totalvotes_1980,gop_1980_prc,dem_1980_prc,gop_minus_dem_prc_1980,gop_1984_votes,dem_1984_votes,totalvotes_1984,gop_1984_prc,dem_1984_prc,gop_minus_dem_prc_1984,gop_1988_votes,dem_1988_votes,totalvotes_1988,gop_1988_prc,dem_1988_prc,gop_minus_dem_prc_1988,gop_1992_votes,dem_1992_votes,totalvotes_1992,gop_1992_prc,dem_1992_prc,gop_minus_dem_prc_1992,gop_1996_votes,dem_1996_votes,totalvotes_1996,gop_1996_prc,dem_1996_prc,gop_minus_dem_prc_1996,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016,gop_2020_votes,dem_2020_votes,totalvotes_2020,gop_2020_prc,dem_2020_prc,gop_minus_dem_prc_2020
ALABAMA,AL,01,504070,659170,1182850,42.61,55.73,-13.12,654192,636730,1341929,48.75,47.45,1.30,872849,551899,1441713,60.54,38.28,22.26,815576,549506,1378476,59.17,39.86,19.31,804283,690080,1688060,47.65,40.88,6.77,769044,662165,1534349,50.12,43.16,6.96,941173,692611,1666272,56.48,41.57,14.91,1176394,693933,1883415,62.46,36.84,25.62,1266546,813479,2099819,60.32,38.74,21.58,1255925.00,795696,2074338,60.55,38.36,22.19,1318255,729547,2123372,62.08,34.36,27.72,1441170,849624,2323282,62.03,36.57,25.46
ALASKA,AK,02,71555,44058,123574,57.90,35.65,22.25,86112,41842,158445,54.35,26.41,27.94,138377,62007,207605,66.65,29.87,36.78,119251,72584,200116,59.59,36.27,23.32,102000,78294,258506,39.46,30.29,9.17,122746,80380,241620,50.80,33.27,17.53,167398,79004,285560,58.62,27.67,30.95,190889,111025,312598,61.07,35.52,25.55,193841,123594,326197,59.42,37.89,21.53,164676.00,122640,300495,54.80,40.81,13.99,163387,116454,318608,51.28,36.55,14.73,189951,153778,359530,52.83,42.77,10.06
ARIZONA,AZ,04,418642,295602,742719,56.37,39.80,16.57,529688,246843,873945,60.61,28.24,32.37,681416,333854,1025897,66.42,32.54,33.88,702541,454029,1171873,59.95,38.74,21.21,572086,543050,1486975,38.47,36.52,1.95,622073,653288,1404405,44.29,46.52,-2.23,781652,685341,1532016,51.02,44.73,6.29,1104294,893524,2012585,54.87,44.40,10.47,1230111,1034707,2293475,53.64,45.12,8.52,1233654.00,1025232,2299254,53.65,44.59,9.06,1252401,1161167,2573165,48.67,45.13,3.54,1661686,1672143,3387326,49.06,49.36,-0.30
ARKANSAS,AR,05,267903,498604,767535,34.90,64.96,-30.06,403164,398041,837582,48.13,47.52,0.61,534774,338646,884406,60.47,38.29,22.18,466578,349237,827738,56.37,42.19,14.18,337324,505823,950653,35.48,53.21,-17.73,325416,475171,884262,36.80,53.74,-16.94,472940,422768,921781,51.31,45.86,5.45,572898,469953,1054945,54.31,44.55,9.76,638017,422310,1086617,58.72,38.86,19.86,647744.00,394409,1069468,60.57,36.88,23.69,684872,380494,1130635,60.57,33.65,26.92,760647,423932,1219069,62.40,34.78,27.62
CALIFORNIA,CA,06,3882244,3742284,7803770,49.75,47.95,1.80,4522994,3082943,8582938,52.70,35.92,16.78,5467009,3922519,9505041,57.52,41.27,16.25,5054917,4702233,9887065,51.13,47.56,3.57,3630574,5121325,11131721,32.61,46.01,-13.40,3828381,5119835,10019469,38.21,51.10,-12.89,4567429,5861203,10965822,41.65,53.45,-11.80,5509826,6745485,12421353,44.36,54.31,-9.95,5011781,8274473,13561900,36.95,61.01,-24.06,4839958.00,7854285,13038547,37.12,60.24,-23.12,4483810,8753788,14181595,31.62,61.73,-30.11,6006429,11110250,17500881,34.32,63.48,-29.16
COLORADO,CO,08,584278,460801,1081440,54.03,42.61,11.42,652264,368009,1184450,55.07,31.07,24.00,821817,454975,1295380,63.44,35.12,28.32,728177,621453,1372394,53.06,45.28,7.78,562850,629681,1569180,35.87,40.13,-4.26,691848,671152,1510702,45.80,44.43,1.37,883748,738227,1741368,50.75,42.39,8.36,1101255,1001732,2129630,51.71,47.04,4.67,1073589,1288576,2401361,44.71,53.66,-8.95,1185243.00,1323101,2569516,46.13,51.49,-5.36,1202484,1338870,2780220,43.25,48.16,-4.91,1364607,1804352,3279980,41.60,55.01,-13.41
CONNECTICUT,CT,09,719261,647895,1386355,51.88,46.73,5.15,677210,541732,1406285,48.16,38.52,9.64,890877,569597,1466900,60.73,38.83,21.90,750241,676584,1443394,51.98,46.87,5.11,578313,682318,1616156,35.78,42.22,-6.44,483109,735740,1392614,34.69,52.83,-18.14,561094,816015,1459525,38.44,55.91,-17.47,693826,857488,1578769,43.95,54.31,-10.36,629428,997772,1646792,38.22,60.59,-22.37,634892.00,905083,1558204,40.75,58.09,-17.34,673215,897572,1644920,40.93,54.57,-13.64,714717,1080831,1823857,39.19,59.26,-20.07
DELAWARE,DE,10,109780,122461,235642,46.59,51.97,-5.38,111252,105754,235668,47.21,44.87,2.34,152190,101656,254572,59.78,39.93,19.85,139639,108647,249891,55.88,43.48,12.40,102313,126054,289620,35.33,43.52,-8.19,99062,140355,270810,36.58,51.83,-15.25,137288,180068,327529,41.92,54.98,-13.06,171660,200152,375190,45.75,53.35,-7.60,152374,255459,412412,36.95,61.94,-24.99,165484.00,242584,413890,39.98,58.61,-18.63,185127,235603,441590,41.92,53.35,-11.43,200603,296268,504346,39.77,58.74,-18.97
DISTRICT OF COLUMBIA,DC,11,27873,137818,168830,16.51,81.63,-65.12,23313,130231,173889,13.41,74.89,-61.48,29009,180408,211288,13.73,85.38,-71.65,27590,159407,192877,14.30,82.65,-68.35,20698,192619,227572,9.10,84.64,-75.54,17339,158220,185726,9.34,85.19,-75.85,18073,171923,201894,8.95,85.16,-76.21,21256,202970,227586,9.34,89.18,-79.84,17367,245800,265853,6.53,92.46,-85.93,21381.00,267070,293764,7.28,90.91,-83.63,12723,282830,312575,4.07,90.48,-86.41,18586,317323,344356,5.40,92.15,-86.75
FLORIDA,FL,12,1469531,1636000,3150631,46.64,51.93,-5.29,2046951,1419475,3686927,55.52,38.50,17.02,2730350,1448816,4180051,65.32,34.66,30.66,2618885,1656701,4302313,60.87,38.51,22.36,2173310,2071698,5313392,40.90,38.99,1.91,2244536,2546870,5303154,42.32,48.03,-5.71,2912790,2912253,5963110,48.85,48.84,0.01,3964522,3583544,7609810,52.10,47.09,5.01,4045624,4282074,8390744,48.22,51.03,-2.81,4163447.00,4237756,8474179,49.13,50.01,-0.88,4617886,4504975,9420039,49.02,47.82,1.20,5668731,5297045,11067456,51.22,47.86,3.36
