FIPS,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016,gop_2020_votes,dem_2020_votes,totalvotes_2020,gop_2020_prc,dem_2020_prc,gop_minus_dem_prc_2020,gop_2024_votes,dem_2024_votes,totalvotes_2024,gop_2024_prc,dem_2024_prc,gop_minus_dem_prc_2024
01,944409.00,695602.00,1672551.00,56.47,41.59,14.88,1176394.00,693933.00,1883415.00,62.46,36.84,25.62,1266546.00,813479.00,2099819.00,60.32,38.74,21.58,1255925.00,795696.00,2070353.00,60.66,38.43,22.23,1318250.00,729547.00,2123367.00,62.08,34.36,27.72,1441170.00,849624.00,2323282.00,62.03,36.57,25.46,1462616.00,772412.00,2264972.00,64.58,34.10,30.47
02,167398.00,79004.00,285530.00,58.63,27.67,30.96,292267.00,180365.00,488693.00,59.81,36.91,22.90,193841.00,123594.00,326197.00,59.42,37.89,21.54,164676.00,122640.00,300495.00,54.80,40.81,13.99,163387.00,116454.00,318398.00,51.32,36.57,14.74,189951.00,153778.00,357569.00,53.12,43.01,10.12,184458.00,140026.00,338177.00,54.54,41.41,13.14
04,781652.00,685341.00,1534113.00,50.95,44.67,6.28,1104294.00,893524.00,2012585.00,54.87,44.40,10.47,1230111.00,1034707.00,2293475.00,53.64,45.12,8.52,1233654.00,1025232.00,2299254.00,53.65,44.59,9.06,1252401.00,1161167.00,2604277.00,48.09,44.59,3.50,1661686.00,1672143.00,10155882.00,16.36,16.46,-0.10,2461122.00,2145165.00,12742782.00,19.31,16.83,2.48
05,472940.00,422768.00,921781.00,51.31,45.86,5.44,572770.00,468631.00,1053694.00,54.36,44.48,9.88,638017.00,422310.00,1086617.00,58.72,38.86,19.85,647744.00,394409.00,1069468.00,60.57,36.88,23.69,684872.00,380494.00,1129896.00,60.61,33.68,26.94,760647.00,423932.00,4876276.00,15.60,8.69,6.91,1518482.00,793810.00,11826760.00,12.84,6.71,6.13
06,4567429.00,5861203.00,10965856.00,41.65,53.45,-11.80,5501496.00,6737355.00,12383678.00,44.43,54.41,-9.98,5011781.00,8274473.00,13561900.00,36.95,61.01,-24.06,4839958.00,7854285.00,13038547.00,37.12,60.24,-23.12,4483810.00,8753788.00,14181595.00,31.62,61.73,-30.11,6006429.00,11110250.00,17500881.00,34.32,63.48,-29.16,6081697.00,9276179.00,15862678.00,38.34,58.48,-20.14
08,883745.00,738227.00,1741365.00,50.75,42.39,8.36,1101255.00,1001732.00,2129630.00,51.71,47.04,4.67,1073589.00,1288576.00,2401361.00,44.71,53.66,-8.95,1185050.00,1322998.00,2569217.00,46.12,51.49,-5.37,1202484.00,1338870.00,2780220.00,43.25,48.16,-4.91,1364607.00,1804352.00,3256980.00,41.90,55.40,-13.50,1377441.00,1728159.00,3190873.00,43.17,54.16,-10.99
09,561094.00,816015.00,1459525.00,38.44,55.91,-17.47,693826.00,857488.00,1578769.00,43.95,54.31,-10.37,628041.00,1000291.00,1647085.00,38.13,60.73,-22.60,634892.00,905083.00,1557885.00,40.75,58.10,-17.34,673215.00,897572.00,1644920.00,40.93,54.57,-13.64,714717.00,1080831.00,1823857.00,39.19,59.26,-20.07,736918.00,992053.00,1759010.00,41.89,56.40,-14.50
10,137288.00,180068.00,327529.00,41.92,54.98,-13.06,171651.00,200141.00,375170.00,45.75,53.35,-7.59,152374.00,255459.00,412412.00,36.95,61.94,-25.00,165484.00,242584.00,413937.00,39.98,58.60,-18.63,185127.00,235603.00,442997.00,41.79,53.18,-11.39,200603.00,296268.00,504010.00,39.80,58.78,-18.98,214351.00,289758.00,511697.00,41.89,56.63,-14.74
11,18073.00,171923.00,201894.00,8.95,85.16,-76.20,21256.00,202970.00,227586.00,9.34,89.18,-79.84,17367.00,245800.00,265853.00,6.53,92.46,-85.92,21381.00,267070.00,293764.00,7.28,90.91,-83.63,12723.00,282830.00,311268.00,4.09,90.86,-86.78,18586.00,317323.00,344356.00,5.40,92.15,-86.75,21076.00,294185.00,325879.00,6.47,90.27,-83.81
12,2911215.00,2911417.00,5960660.00,48.84,48.84,-0.00,3964522.00,3583544.00,7609810.00,52.10,47.09,5.01,4046212.00,4282366.00,8391639.00,48.22,51.03,-2.81,4163447.00,4237756.00,8474179.00,49.13,50.01,-0.88,4617886.00,4504975.00,9420039.00,49.02,47.82,1.20,5668731.00,5297045.00,11067456.00,51.22,47.86,3.36,6110125.00,4683038.00,10893752.00,56.09,42.99,13.10
