state,fips,code,region,division
Alabama,1,AL,South,East South Central
Alaska,2,AK,West,Pacific
Arizona,4,AZ,West,Mountain
Arkansas,5,AR,South,West South Central
California,6,CA,West,Pacific
Colorado,8,CO,West,Mountain
Connecticut,9,CT,Northeast,New England
Delaware,10,DE,South,South Atlantic
District of Columbia,11,DC,South,South Atlantic
Florida,12,FL,South,South Atlantic
Georgia,13,GA,South,South Atlantic
Hawaii,15,HI,West,Pacific
Idaho,16,ID,West,Mountain
Illinois,17,IL,Midwest,East North Central
Indiana,18,IN,Midwest,East North Central
Iowa,19,IA,Midwest,West North Central
Kansas,20,KS,Midwest,West North Central
Kentucky,21,KY,South,East South Central
Louisiana,22,LA,South,West South Central
Maine,23,ME,Northeast,New England
Maryland,24,MD,South,South Atlantic
Massachusetts,25,MA,Northeast,New England
Michigan,26,MI,Midwest,East North Central
Minnesota,27,MN,Midwest,West North Central
Mississippi,28,MS,South,East South Central
Missouri,29,MO,Midwest,West North Central
Montana,30,MT,West,Mountain
Nebraska,31,NE,Midwest,West North Central
Nevada,32,NV,West,Mountain
New Hampshire,33,NH,Northeast,New England
New Jersey,34,NJ,Northeast,Middle Atlantic
New Mexico,35,NM,West,Mountain
New York,36,NY,Northeast,Middle Atlantic
North Carolina,37,NC,South,South Atlantic
North Dakota,38,ND,Midwest,West North Central
Ohio,39,OH,Midwest,East North Central
Oklahoma,40,OK,South,West South Central
Oregon,41,OR,West,Pacific
Pennsylvania,42,PA,Northeast,Middle Atlantic
Rhode Island,44,RI,Northeast,New England
South Carolina,45,SC,South,South Atlantic
South Dakota,46,SD,Midwest,West North Central
Tennessee,47,TN,South,East South Central
Texas,48,TX,South,West South Central
Utah,49,UT,West,Mountain
Vermont,50,VT,Northeast,New England
Virginia,51,VA,South,South Atlantic
Washington,53,WA,West,Pacific
West Virginia,54,WV,South,South Atlantic
Wisconsin,55,WI,Midwest,East North Central
Wyoming,56,WY,West,Mountain
