lon,lat,temp
-80.28,25.82,22.8
-80.1,26.68,21.3
-81.32,28.43,17.9
-81.7,30.4,15.5
-82.53,27.97,17.3
-83.65,32.7,11.8
-81.97,33.37,12
-84.42,33.65,9.2
-88.25,30.68,13.7
-86.4,32.3,12.3
-88.75,32.33,11.1
-90.08,32.32,10.6
-93.22,30.12,14.3
-94.8,29.3,13.7
-95.35,29.97,14.2
-93.78,32.47,11.3
-97.42,25.92,20.3
-97.7,30.3,13.6
-96.92,28.85,16
-97.22,31.62,11.7
-100.5,31.37,13.5
-102.18,31.95,13.1
-99.68,32.42,10.4
-101.82,33.65,9.9
-110.93,32.12,17.9
-112.02,33.43,20.4
-117.17,32.73,18.3
-118.27,33.72,18.2
-78.78,35.87,8.5
-80.93,35.22,8.7
-82.55,35.43,4.6
-79.95,36.08,6.9
-85.2,35.03,7.5
-83.98,35.8,5.5
-86.68,36.12,5.8
-92.25,34.83,8.2
-94.37,35.33,7.8
-98.48,33.97,8.8
-97.6,35.38,6.7
-95.88,36.2,7.1
-101.72,35.22,5.6
-106.62,35.05,9.5
-115.17,36.08,16
-120.45,34.9,17.4
-77.33,37.5,6.5
-77.03,38.85,4.5
-76.67,39.18,3.2
-74.57,39.45,3.7
-75.2,40,3.2
-79.97,37.32,3.9
-81.12,37.78,-0.3
-81.6,38.37,2.2
-84.67,39.05,1.2
-84.6,38.03,2.1
-85.73,38.18,3.3
-82.55,38.37,1
-82.88,40,0.2
-84.2,39.9,-0.3
-87.53,38.05,3.1
-90.37,38.75,3.1
-86.27,39.73,0.2
-93.38,37.23,3.9
-92.22,38.82,1.8
-97.43,37.65,4.6
-99.97,37.77,4.2
-95.62,39.07,2.5
-97.65,39.55,1.5
-101.68,39.37,4.6
-108.53,39.12,2.4
-114.85,39.28,4.2
-122.38,37.62,15.1
-72.68,41.93,2.9
-71.03,42.37,3.7
-75.73,41.33,0.6
-80.22,40.5,0.5
-81.43,40.92,-0.3
-80.67,41.25,0.7
-87.9,42,0.2
-89.68,40.67,-0.1
-85.2,41,-0.1
-86.32,41.7,-0.3
-83.8,41.6,0.1
-83,42.4,0.4
-90.5,41.45,-0.4
-93.65,41.53,-1.9
-98.32,40.95,-0.3
-97.43,41.98,-2.9
-96.38,42.4,-3.3
-100.68,41.13,2.1
-106.47,42.92,2
-111.97,40.78,6.8
-108.73,42.82,-0.8
-112.6,42.92,2.7
-122.87,42.37,13.4
-71.5,43.2,2.2
-85.52,42.88,0.2
-86.23,43.17,0.1
-83.75,42.97,-0.8
-87.9,42.95,0.2
-89.33,43.13,-0.8
-92.5,43.92,-4.1
-88.13,44.48,-1
-96.73,43.58,-4.7
-98.22,44.38,-5.6
-108.53,45.8,1.3
-116.22,43.57,8.3
-118.85,45.68,10.8
-122.6,45.6,12.3
-68.02,46.87,-1.7
-84.4,46.5,-1.8
-87.4,46.6,-3.1
-92.18,46.83,-2.8
-93.38,48.57,-4.4
-96.8,46.9,-6.9
-100.75,46.77,-7.4
-103.63,48.18,-7.1
-114.08,46.92,4.7
-120.53,46.57,9.9
-122.33,47.6,11.7
-124.55,47.95,11.5
